"ID","Primary_Text","Analyzed_Word","Glosses","Translation","Comment","LGR"
"a3465","moba zrathkäfe","moba	zra\thkäf/e","where.ABL	1DU>3SG.F:IRR:PFV\start","Where will we start?","I reply by asking the question: wawa moba enrera? `Where did the yams come from?'","WORD_ALIGNED"
"a3466","""wawa moba enrera?"" okay","wawa	moba	en\rä/ra	okay","round_yam	where.ABL	2|3PL:PST:IPFV:VENT\be	okay","""Where did the yams come from?"" Okay!","","WORD_ALIGNED"
"a3468","kwa zöbthé zrathkäfe nimame trikasi fof","kwa	zöbthé	zra\thkäf/e	nima	=me	trikasi	fof","FUT	first	1DU>3SG.F:IRR:PFV\start	like_this	=INS	story	EMPH","We will start the story in this way,","","WORD_ALIGNED"
"a3469","kwafar","kwafar","PLN","with Kwafar.","","WORD_ALIGNED"
"a3470","nimame fof nzranyan e zbo zrabthe","nima	=me	fof	nzran\yan/	e	zbo	zra\bth/e","like_this	=INS	EMPH	1DU:IRR:IPFV:VENT\come	until	PROX:ALL	1DU>3SG.F:IRR:PFV\finish","We will come like this and then finish up","","WORD_ALIGNED"
"a3471","ra nzigfu enfathwath","ra	nzigfu	en\fath/wath","what.ABS	rain_stone	2|3PL>2|3PL:PST:IPFV:VENT\hold","with the rain stones.","","WORD_ALIGNED"
"a3472","ra fofosa nzigfu enfathwath","ra	fofosa	nzigfu	en\fath/wath","what.ABS	heart	rain_stone	2|3PL>2|3PL:PST:IPFV:VENT\hold","What rain stones they used to have.","","WORD_ALIGNED"
"a3474","watik zbo zf zrabthe aneme fof","wati	zbo	zf	zra\bth/e	ane	=me	fof","then	PROX:ALL	ABSC	1DU>3SG.F:IRR:PFV\finish	DEM	=INS	EMPH","We will finish with this part.","","WORD_ALIGNED"
"a3476","trikasi näbi kwa wäniyak","trikasi	näbi	kwa	wän\yak/","story	one	FUT	3SG.F:NPST:IPFV:VENT\come","It will be one story.","","WORD_ALIGNED"
"a3481","zane trikasi mane rä","zane	trikasi	mane	\rä/","DEM:PROX	story	which	3SG.F:NPST:IPFV\be","As for this story,","","WORD_ALIGNED"
"a3483","ŋafyf bäyf mane ŋatrikwa","ŋafe	=f	bäi	=f	mane	ŋa\trik/wa","father	=ERG.SG	PN	=ERG.SG	which	SG:PST:IPFV\tell","it was my father Bäi who told it.","","WORD_ALIGNED"
"a3484","nzenm natrikwa","nzenm	na\trik/wa","1NSG:DAT	SG>1PL.IO:PST:IPFV\tell","He told it to us.","","WORD_ALIGNED"
"a3485","watik ane trikasi fof zena ŋaritakwr","wati	ane	trikasi	fof	zena	ŋa\ritak/wr","then	DEM	story	EMPH	today	2|3SG:NPST:IPFV\cross","Well, this story will be passed on today.","","WORD_ALIGNED"
"a3486","trikasi mane rä kwafarma rä","trikasi	mane	\rä/	kwafar	=ma	\rä/","story	which	3SG.F:NPST:IPFV\be	PLN	=CHAR	3SG.F:NPST:IPFV\be","This story is about Kwafar.","","WORD_ALIGNED"
"a3489","""kwafar"" ŋafyf nima fof kwatrikwrm","kwafar	ŋafe	=f	nima	fof	kwa\trik/wrm","PLN	father	=ERG.SG	like_this	EMPH	SG>1SG.IO:PST:DUR\tell","""Kwafar"", that's how father told me","","WORD_ALIGNED"
"a13405","""kwafar mane rera thden rera""","kwafar	mane	\rä/ra	thd	=en	\rä/ra","PLN	which	3SG.F:PST:IPFV\be	middle	=LOC	3SG.F:PST:IPFV\be","""Kwafar was in the centre,""","","WORD_ALIGNED"
"a3491","zane zena mane bad mane wythk","zane	zena	mane	bad	mane	wa\ythk/","DEM:PROX	today	which	ground	which	3SG.F:NPST:IPFV\come_to_end","where this continent ends today and","","WORD_ALIGNED"
"a3492","mazo mä ŋakonzr a","mazo	mä	ŋa\ko/nzr	a","ocean	where	2|3SG:NPST:IPFV\become	and","where the ocean begins,","","WORD_ALIGNED"
"a3494","australiane bad mä wythk","australian	=ane	bad	mä	wa\ythk/","PLN	=POSS.SG	ground	where	3SG.F:NPST:IPFV\come_to_end","to where the Australian land ends.","","WORD_ALIGNED"
"a3495","fä mä fi zfrärm ane","fä	mä	fi	zf\rä/rm	ane","DIST	where	3.ABS	3SG.F:PST:DUR\be	DEM","That is where Kwafar was located.","","WORD_ALIGNED"
"a3496","kwafar fof kabe mä kwamosinzrmth","kwafar	fof	kabe	mä	kwa\mosi/nzrmth","Kwafar	EMPH	people	where	2|3PL:PST:DUR\gather","The people used to live together in Kwafar.","","WORD_ALIGNED"
"a3497","wäsi warfo thfrugrm","wäsi	warfo	thf\ru/grm","tree_species	above	2|3PL:PST:DUR\sleep","They stayed on top of a Wäsi tree.","wäsi 'strangler fig' (Ficus elastica)","WORD_ALIGNED"
