"ID","Primary_Text","Analyzed_Word","Glosses","Translation","Comment","LGR"
"a1608","trikasi kwa wthkärwé masuma","trikasi	kwa	w\thkär/wé	masu	=ma","story	FUT	1SG>3SG.F:NPST:IPFV\start	PLN	=CHAR","I will start the story about Masu.","","WORD_ALIGNED"
"a1609","kar yf fä mane znthkäfe yabär","kar	yf	fä	mane	zn\thkäf/e	yabär","place	name	DIST	which	1PL>3SG.F:RPST:PFV:VENT\start	PLN","We started walked and came from Yambär,","","WORD_ALIGNED"
"a1610","tratrabäk mdri","tratrabäk	mdri","PLN	PLN","to Tratrambäk, to Méndri,","","WORD_ALIGNED"
"a1611","masu zf rä","masu	zf	\rä/","PLN	ABSC	3SG.F:NPST:IPFV\be","and now to Masu right here.","","WORD_ALIGNED"
"a1612","masu zf rä kar","masu	zf	\rä/	kar","PLN	ABSC	3SG.F:NPST:IPFV\be	village","This is the village of Masu,","","WORD_ALIGNED"
"a1613","nzenme menz zöbthé fefe mobo sathora","nzenme	menz	zöbthé	fefe	mobo	sa\thor/a","1NSG.POSS	story_man	first	really	where.ALL	3SG.M:PST:PFV\appear","where our ancestor first arrived.","","WORD_ALIGNED"
"a1614","menz frükakmenzo fthé kwankwirwrmth","menz	frü	-kak	=me	=nzo	fthé	kwan\kwir/wrmth","story_man	alone	-DISTR	=INS	=ONLY	when	2|3PL:PST:DUR:VENT\run","The ancestors came one by one,","","WORD_ALIGNED"
"a1615","mrn frükakmenzo","mrn	frü	-kak	=me	=nzo","family	alone	-DISTR	=INS	=ONLY","each clan.","","WORD_ALIGNED"
"a1616","menz berä mayawa bagu sagara","menz	b=	e\rä/	mayawa	bagu	sagara","story_man	MED=	2|3PL:NPST:IPFV\be	PN	PN	PN","There were different ancestors of the Mayawa, the Bangu, and the Sangara.","","WORD_ALIGNED"
"a1619","nafanme mothme zumarwrmth nimame kwakwirwrmth","nafanme	moth	=me	zu\mar/wrmth	nima	=me	kwa\kwir/wrmth","3NSG.POSS	path	=INS	2|3PL>3SG.F:PST:DUR\see	like_this	=INS	2|3PL:PST:DUR\run","They were looking for their way when they came.","","WORD_ALIGNED"
"a1620","kar fthé thunthorakwrmth","kar	fthé	thun\thorak/wrmth","village	when	2|3PL>2|3PL:PST:DUR:VENT\search","They were looking for a place (to settle down).","","WORD_ALIGNED"
"a1621","nzenmenz zä zf ŋankwira","nzen-	menz	zä	zf	ŋan\kwir/a","1NSG:POSS-	story_man	PROX	ABSC	SG:PST:IPFV:VENT\run","Our ancestor came to this place here.","","WORD_ALIGNED"
"a1622","komo foba fthé kwankwirwrm","komo	foba	fthé	kwan\kwir/wrm","PLN	DIST:ABL	when	2|3SG:PST:DUR:VENT\run","He came from Komo and","","WORD_ALIGNED"
"a1623","swänze bä zänrita","swänze	bä	zän\rit/a","PLN	MED	SG:PST:PFV:VENT\cross","he crossed over (the creek) at Swänze.","","WORD_ALIGNED"
"a1624","mare komnzo bithn bä mä zänrita","mare	komnzo	b=	y\thn/	bä	mä	zän\rit/a","log_bridge	still	MED=	3SG.M:NPST:IPFV\lie_down	MED	where	SG:PST:PFV:VENT\cross","That log bridge is still there, where he went across.","","WORD_ALIGNED"
