"ID","Primary_Text","Analyzed_Word","Glosses","Translation","Comment","LGR"
"a7460","namä ezi","namä	ezi","good	morning","Good morning!","","WORD_ALIGNED"
"a7461","zena thweksikarä ezi wnrä","zena	thwek	-si	=karä	ezi	wn\rä/","today	rejoice	-NMLZ	=PROP	morning	3SG.F:NPST:IPFV:VENT\be","A happy morning is coming.","","WORD_ALIGNED"
"a7462","füsfüs yfsgwr","füsfüs	y\fsg/wr","wind	2|3SG>3SG.M:NPST:IPFV\blow","The wind is blowing.","","WORD_ALIGNED"
"a7463","kar wänrenzr namänzo","kar	wän\re/nzr	namä	=nzo","village	3SG.F:NPST:IPFV:VENT\look	good	=ONLY","The village is looking very good.","","WORD_ALIGNED"
"a7464","thweksi ŋanbrigwr zena efoth","thwek	-si	ŋan\brig/wr	zena	efoth","rejoice	-NMLZ	2|3SG:NPST:IPFV:VENT\return	today	day","Happiness is coming back today.","","WORD_ALIGNED"
"a7465","zena ezi nze kwa trikasi ŋatrikwé bänema","zena	ezi	nze	kwa	trikasi	ŋa\trik/wé	bäne	=ma","today	morning	1SG.ERG	FUT	story	1SG:NPST:IPFV\tell	PH	=CHAR","This morning I will tell a story about","","WORD_ALIGNED"
"a7467","safak menz a faikore menz","safak	menz	a	faikore	menz","saratoga	story_man	and	bushfowl	story_man","the Saratoga man and the Bushfowl man.","safak = Gulf saratoga, Australian bonytongue (Scleropages jardinii); faikore = Orange-footed megapode or scrubfowl (Megapodius reinwardt)","WORD_ALIGNED"
"a7468","safak menz mane yara sagaraneme yara garaita sagara","safak	menz	mane	ya\r/a	sagara	=aneme	ya\r/a	garaita	sagara","saratoga	story_man	which	3SG.M:PST:IPFV\be	PN	=POSS.NSG	3SG.M:PST:IPFV\be	PLN	PN","As for the Saratoga man, he was the Sangaras' story man, the Sangaras from Garaita.","Sagara = non-local exogamous group, Garaita Sangara = local clan from Morehead","WORD_ALIGNED"
"a7471","faikore menz mayawaneme yara masun mayawanme","faikore	menz	mayawa	=aneme	ya\r/a	masu	=en	mayawa	=aneme","bushfowl	story_man	PN	=POSS.NSG	3SG.M:PST:IPFV\be	PLN	=LOC	PN	=POSS.NSG","The Bushfowl man was the Mayawas' story man, the Mayawas from Masu.","Mayawa = non-local exogamous group, Masu Mayawa = local clan from Rouku, speaker's clan","WORD_ALIGNED"
"a7474","trikasi zane mane wnrä","trikasi	zane	mane	wn\rä/","story	DEM:PROX	which	3SG.F:NPST:IPFV:VENT\be","The story that is coming,","","WORD_ALIGNED"
"a7475","nzä mane ŋatrikwé","nzä	mane	ŋa\trik/wé","1SG.ABS	which	1SG:NPST:IPFV\tell","that I will tell,","","WORD_ALIGNED"
"a7476","badabadanmedba wnrä","badabada	=nmedba	wn\rä/","ancestor	=ABL.ANIM.NSG	3SG.F:NPST:IPFV:VENT\be","comes from the ancestors.","","WORD_ALIGNED"
"a7477","nzone ŋafyn bäin ane trikasi yatrikwath","nzone	ŋafe	=n	bäi	=n	ane	trikasi	ya\trik/wath","1SG.POSS	father	=DAT.SG	PN	=DAT.SG	DEM	story	2|3PL>1SG.IO:PST:IPFV\tell","They told that story to my father Bäi,","","WORD_ALIGNED"
"a7478","nzunwä ŋafyf bäyf zwafäsa","nzun	=wä	ŋafe	=f	bäi	=f	zwa\fäs/a","1SG.DAT	=EMPH	father	=ERG.SG	PN	=ERG.SG	SG>1SG.IO:PST:PFV\show","and my father Bäi told me the story.","","WORD_ALIGNED"
"a7480","nima ""zrä ane kar","nima	z=	\rä/	ane	kar","like_this	PROX=	3SG.F:NPST:IPFV\be	DEM	place","He was talking like this: ""This is the place here.","","WORD_ALIGNED"
"a7481","safak fur zä thuthkagrm","safak	fur	zä	thu\th/kagrm","saratoga	bundle	PROX	2|3PL:PST:DUR\be_inside","The saratoga fishlings were inside here.","","WORD_ALIGNED"
"a7482","zä zf ŋafnnath","zä	zf	ŋa\fn/nath","PROX	ABSC	2|3DU:PST:IPFV\hit","Those two were fighting right here.","","WORD_ALIGNED"
"a7483","wm bä mane kanathren ythn","wm	bä	mane	kanathr	=en	y\thn/","stone	MED	which	PLN	=LOC	3SG.M:NPST:IPFV\lie_down","The stone bridge at Kanathér,","","WORD_ALIGNED"
"a7484","fthé ane fof yrtmaknath","fthé	ane	fof	y\rtmak/nath","when	DEM	EMPH	2|3DU>3SG.M:PST:IPFV\cut","that was time when they destroyed it.","","WORD_ALIGNED"
"a7485","wm mane sfrärm boba wazi neba kwaritakwrm""","wm	mane	sf\rä/rm	boba	wazi	neba	kwa\ritak/wrm","stone	which	3SG.M:PST:DUR\be	MED:ABL	side	opposite	2|3SG:PST:DUR\cross","The stone crossed from one side (of the river) to the other side.""","","WORD_ALIGNED"
"a7486","wati anema trikasi zena kwa ŋatrikwé fof","wati	ane	=ma	trikasi	zena	kwa	ŋa\trik/wé	fof","then	DEM	=CHAR	story	today	FUT	1SG:NPST:IPFV\tell	EMPH","Okay, I will tell this story now.","","WORD_ALIGNED"
"a7488","nimame zrethkäfé zane ezi mrmren","nima	=me	zre\thkäf/é	zane	ezi	mrmr	=en","like_this	=INS	1SG:IRR:PFV\start	DEM:PROX	morning	inside	=LOC","I will start this story now in these morning hours.","","WORD_ALIGNED"
"a7489","eda kabe thfrnm","eda	kabe	thf\rn/m","two	man	2|3DU:PST:DUR\be","There were two men.","","WORD_ALIGNED"
