"ID","Primary_Text","Analyzed_Word","Glosses","Translation","Comment","LGR"
"a1640","zöbthé kabe mane thwamnzrm kabe yf ane thfrärm","zöbthé	kabe	mane	thwa\m/nzrm	kabe	yf	ane	thf\rä/rm","first	man	which	2|3PL:PST:DUR\sit	man	name	DEM	2|3PL:PST:DUR\be","The people who lived (in Firra) before had names.","","WORD_ALIGNED"
"a1643","nzone miyatha monme rä manenzo z ŋafyé thebräknath anenzo né threbräkné","nzone	miyatha	mon	=me	\rä/	mane	=nzo	z	ŋafe	=é	the\bräkn/ath	ane	=nzo	n	thre\bräkn/é","1SG.POSS	knowledge	how	=INS	3SG.F:NPST:IPFV\be	which	=ONLY	ALR	father	=ERG.NSG	2|3PL>2|3PL:PST:PFV\call_out	DEM	=ONLY	IMN	1SG>2|3PL:IRR:PFV\call_out","I only know the ones my fathers have mentioned. So I will only mention them.","","WORD_ALIGNED"
"a1644","tüfr kabe thwamnzrm mayawama","tüfr	kabe	thwa\m/nzrm	mayawa	=ma","plenty	man	2|3PL:PST:DUR\sit	PN	=CHAR","Many people from the Mayawa used to live there.","","WORD_ALIGNED"
"a1646","mayawa mrmrma o mayawama kafar mane thwamnzrm","mayawa	mrmr	=ma	o	mayawa	=ma	kafar	mane	thwa\m/nzrm","PN	inside	=CHAR	or	PN	=CHAR	big	which	2|3PL:PST:DUR\sit","They belonged to the Mayawa clan or were elders of the Mayawa.","","WORD_ALIGNED"
"a1647","yasi nzone aki a srank","yasi	nzone	aki	a	srank","PLN	1SG.POSS	grandparent	and	PN","Yasi, my grandfather, and Srank.","","WORD_ALIGNED"
"a1649","fi mayawama fof thfrnm","fi	mayawa	=ma	fof	thf\rn/m","3.ABS	PN	=CHAR	EMPH	2|3DU:PST:DUR\be","They were from the Mayawa clan.","","WORD_ALIGNED"
"a1650","bagu fi tüfrwä thwamnzrm fi baguanme kafar mane swamnzrm a mawoi","bagu	fi	tüfr	=wä	thwa\m/nzrm	fi	bagu	=aneme	kafar	mane	swa\m/nzrm	a	mawoi","PN	3.ABS	plenty	=EMPH	2|3PL:PST:DUR\sit	3.ABS	PN	=POSS.NSG	big	which	3SG.M:PST:DUR\sit	and	PN","The Bangu were numerous. One of the Bangu elders who lived there was Mawoi.","","WORD_ALIGNED"
"a1653","firra kar mrmren sagarama bthi","firra	kar	mrmr	=en	sagara	=ma	bthi","PLN	village	inside	=LOC	PN	=CHAR	PN","And there was Béthi of the Sangara.","","WORD_ALIGNED"
"a1656","okay, ane etha mrn mrmren ane fof thwamnzrm fi woga ... kabe tüfr thwamnzrm","okay	ane	etha	mrn	mrmr	=en	ane	fof	thwa\m/nzrm	fi	woga	kabe	tüfr	thwa\m/nzrm","okay	DEM	three	family	inside	=LOC	DEM	EMPH	2|3PL:PST:DUR\sit	3.ABS	man	man	plenty	2|3PL:PST:DUR\sit","Okay, there were a lot of people within these three clans","","WORD_ALIGNED"
"a1657","firra kar mrmren","firra	kar	mrmr	=en","PLN	village	inside	=LOC","in Firra village.","","WORD_ALIGNED"
"a1658","ane ebar yam fthé zewära firran","ane	ebar	yam	fthé	ze\wär/a	firra	=en","DEM	head	event	when	SG:PST:PFV\happen	PLN	=LOC","At this time, a headhunt was taking place in Firra.","","WORD_ALIGNED"
"a1660","nafa wäfiyokwath bobafa mere","nafa	wä\fiyok/wath	boba	=fa	mere","3NSG.ERG	2|3PL>3SG.F:PST:IPFV\make	MED:ABL	=ABL	PLN","Those who did this came from Mere.","","WORD_ALIGNED"
"a1662","mere mane enrera","mere	mane	en\rä/ra","PLN	which	2|3PL:PST:IPFV:VENT\be","The ones from Mere","","WORD_ALIGNED"
"a1663","warthaŋä zänthafrath","wartha	=ä	zän\thafr/ath","PLN	=ASSOC	2|3PL:PST:PFV:VENT\add","have joined forces with the Wartha people.","","WORD_ALIGNED"
"a1664","a näbun mane erera nzrarima","a	näbun	mane	e\rä/ra	nzrari	=ma","and	INDF	which	2|3PL:PST:IPFV\be	PLN	=CHAR","Others cames from Nzrari.","","WORD_ALIGNED"
"a1666","safs kabe zena mane ekonzrth","safs	kabe	zena	mane	e\ko/nzrth","PLN	people	today	which	2|3PL>2|3PL:NPST:IPFV\speak","Nowadays, they call them Safés people,","","WORD_ALIGNED"
"a1667","nzrari mane thfamnzrm","nzrari	mane	thfa\m/nzrm","PLN	which	2|3PL:PST:DUR\sit","including the ones living at Nzrari.","","WORD_ALIGNED"
"a1668","ane kabe fof enrera","ane	kabe	fof	en\rä/ra","DEM	man	EMPH	2|3PL:PST:IPFV:VENT\be","These were the men","","WORD_ALIGNED"
"a1669","firran mafa thäkwrath kabe","firra	=en	mafa	thä\kwr/ath	kabe","PLN	=LOC	who.ERG.NSG	2|3PL>2|3PL:PST:PFV\hit	people","who killed the people at Firra.","","WORD_ALIGNED"
"a1670","okay, ane ebar fthé ŋafiyokwa","okay	ane	ebar	fthé	ŋa\fiyok/wa","okay	DEM	head	when	SG:PST:IPFV\make","When that headhunting raid took place,","","WORD_ALIGNED"
"a1671","nzone aki yasi","nzone	aki	yasi","1SG.POSS	grandparent	PN","my grandfather Yasi,","","WORD_ALIGNED"
"a1673","nzone ŋafe fthé fof katan fäth sfrärm","nzone	ŋafe	fthé	fof	katan	fäth	sf\rä/rm","1SG.POSS	father	when	EMPH	small	DIM	3SG.M:PST:DUR\be","my father was a young baby boy,","","WORD_ALIGNED"
"a1674","fi zizi zenfara","fi	zizi	zen\far/a","3.ABS	afternoon	SG:PST:PFV:VENT\set_off","he left in the afternoon.","","WORD_ALIGNED"
"a1675","nima zena zf thräkwrth ebar zan","nima	zena	zf	thrä\kwr/th	ebar	zan","like_this	today	ABSC	2|3PL>2|3PL:IRR:PFV\hit	head	fight","He knew that ""They will kill them today.""","","WORD_ALIGNED"
"a1676","nafaŋarerwä","nafa-	ŋare	=r	=wä","3.POSS-	woman	=ASSOC.DU	=EMPH","(He left) with his own wife.","","WORD_ALIGNED"
"a1677","nafaŋare yf noko","nafa-	ŋare	yf	noko","3.POSS-	wife	name	Noko","His wife's name was Noko,","","WORD_ALIGNED"
"a1678","matama emoth","mata	=ma	emoth","Mata	=CHAR	girl","a girl from Mata.","","WORD_ALIGNED"
"a1679","nge nzone ŋafe ane fof kwozi","nge	nzone	ŋafe	ane	fof	kwozi","child	1SG.POSS	father	DEM	EMPH	Kwozi","The child, my father, was Kwozi.","","WORD_ALIGNED"
"a1680","nafä fof zenfarath zizi fefe fthé efoth kwabthakwrm","nafä	fof	zen\far/ath	zizi	fefe	fthé	efoth	kwa\bthak/wrm","3PL.ASSOC	EMPH	2|3PL:PST:PFV:VENT\set_off	afternoon	really	when	sun	SG:PST:DUR\finish","They set off together very late in the afternoon when the sun was going down.","","WORD_ALIGNED"
"a1681","fi z miyatha zäkora nafanemäwä bad yamme","fi	z	miyatha	zä\kor/a	nafane	=ma	=wä	bad	yam	=me","3.ABS	ALR	knowledge	SG:PST:PFV\become	3SG.POSS	=CHAR	=EMPH	ground	event	=INS","He had already worked it out with his own magic.","","WORD_ALIGNED"
"a1682","nima zena kwa zan zbo ŋathorthr kabe kwa zena efnzrth firran","nima	zena	kwa	zan	zbo	ŋa\thor/thr	kabe	kwa	zena	e\fn/nzrth	firra	=en","like_this	today	FUT	fight	PROX:ALL	2|3SG:NPST:IPFV\enter	man	FUT	today	2|3PL>2|3PL:NPST:IPFV\hit	PLN	=LOC","(He thought) something like this: ""Today the killing will come here"" or ""They will kill the people today in Firra.""","","WORD_ALIGNED"
"a1683","watik, srank kma sakora ""srank ni krafare""","wati	srank	kma	sa\kor/a	srank	ni	kra\far/e","then	PN	POT	SG>3SG.M:PST:PFV\speak	PN	1NSG	1DU:IRR:PFV\set_off","He tried to tell Srank, ""Srank, let's go!""","","WORD_ALIGNED"
"a1684","srankf zenaftha ""keke efoth zizi fefe rä nzä kayé woräro""","srank	=f	ze\nafth/a	keke	efoth	zizi	fefe	\rä/	nzä	kayé	wo\rä/ro","PN	=ERG.SG	SG:PST:PFV\speak	NEG	day	afternoon	really	3SG.F:NPST:IPFV\be	1SG.ABS	one_day_away	1SG:NPST:IPFV:AND\be","Srank said: ""No, it's already late in the day. I'll come tomorrow.""","","WORD_ALIGNED"
"a1685","watik, fi yasi mane yara fi fefe zenfara masu","wati	fi	yasi	mane	ya\r/a	fi	fefe	zen\far/a	masu","then	3.ABS	PN	which	3SG.M:PST:IPFV\be	3.ABS	really	SG:PST:PFV:VENT\set_off	PLN","Then Yasi really went to Masu.","","WORD_ALIGNED"
"a1686","masufo fam thänra","masu	=fo	fam	thän\r/a","PLN	=ALL	thought	SG>2|3PL:PST:PFV:VENT\do","He thought of the people in Masu,","","WORD_ALIGNED"
"a1687","karbu ote mane fobo thwamnzrm ane badabada","karbu	ote	mane	fobo	thwa\m/nzrm	ane	badabada","Karémbu	PN	which	DIST:ALL	2|3PL:PST:DUR\sit	DEM	ancestor","Karémbu and Ote, who lived over there, these ancestors.","","WORD_ALIGNED"
"a1688","koyä ttfr mayawama kkafar","koyä	ttfr	mayawa	=ma	k~	kafar","PN	PN	PN	=CHAR	REDUP~	big","Koyä and Tétéfér, the elders of the Mayawa.","","WORD_ALIGNED"
