"ID","Primary_Text","Analyzed_Word","Glosses","Translation","Comment","LGR"
"a1428","namä ezi","namä	ezi","good	morning","Good morning!","","WORD_ALIGNED"
"a1429","zane namä ezi mrmren nzä kwa trikasi ŋatrikwé","zane	namä	ezi	mrmr	=en	nzä	kwa	trikasi	ŋa\trik/wé","DEM:PROX	good	morning	inside	=LOC	1SG.ABS	FUT	story	1SG:NPST:IPFV\tell","In this nice morning, I will tell the story,","","WORD_ALIGNED"
"a1431","tdöfin mane thäkwrath kabe ebar mä ertmakwrath fof","tdöfi	=en	mane	thä\kwr/ath	kabe	ebar	mä	e\rtmak/wrath	fof","PLN	=LOC	which	2|3PL>2|3PL:PST:PFV\hit	man	head	where	2|3PL>2|3PL:PST:IPFV\cut	EMPH","how they killed them at Téndöfi, where they cut off peoples' heads,","","WORD_ALIGNED"
"a1432","faw wbrigwath firrane zanma fof","faw	w\brig/wath	firra	=ane	zan	=ma	fof","payment	2|3PL>3SG.F:PST:IPFV\return	PLN	=POSS.SG	fight	=CHAR	EMPH","and how they took revenge for the attack on Firra village.","","WORD_ALIGNED"
"a1434","zanr fthé zathkäfath fam fthé wkurwath","zan	=r	fthé	za\thkäf/ath	fam	fthé	w\kur/wath","fight	=PURP	when	2|3PL>3SG.F:PST:PFV\start	thought	when	2|3PL>3SG.F:PST:IPFV\split","They discussed their plans before the revenge attack.","","WORD_ALIGNED"
"a1435","nafa wäfiyoknath ote a yasi","nafa	wä\fiyok/nath	ote	a	yasi","3NSG.ERG	2|3DU>3SG.F:PST:IPFV\make	PN	and	PN","Ote and Yasi did that.","","WORD_ALIGNED"
"a1438","bä ane fam wäfiyoknath tamnzüfi","bä	ane	fam	wä\fiyok/nath	tamnzüfi","MED	DEM	thought	2|3DU>3SG.F:PST:IPFV\make	PLN","They planned it in Tamnzüfi.","","WORD_ALIGNED"
"a1440","tamnzüfi mane rä ŋars wazi bä rä forthr fren","tamnzüfi	mane	\rä/	ŋars	wazi	bä	\rä/	forthr	fr	=en","PLN	which	3SG.F:NPST:IPFV\be	river	side	MED	3SG.F:NPST:IPFV\be	PLN	stem	=LOC","Tamnzüfi lies on the other side of the river in the Fothér forest.","","WORD_ALIGNED"
"a1441","fä fof fam wräznath faw brigsir bänema","fä	fof	fam	w\räz/nath	faw	brig	-si	=r	bäne	=ma","DIST	EMPH	thought	2|3DU>3SG.F:PST:IPFV\erect	payment	return	-NMLZ	=PURP	PH	=CHAR","They agreed on a plan to take revenge on them,","","WORD_ALIGNED"
"a1443","nafanme kabe zfth firran mane thäkwrath fof","nafanme	kabe	zfth	firra	=en	mane	thä\kwr/ath	fof","3NSG.POSS	man	tree_base	PLN	=LOC	which	2|3PL>2|3PL:PST:PFV\hit	EMPH","to revenge their clan people, who were killed at Firra,","","WORD_ALIGNED"
"a1444","srank mane sakwrath.","srank	mane	sa\kwr/ath","PN	which	2|3PL>3SG.M:PST:PFV\hit","against those who had killed Srank.","According to Maraga's headhunting story, Srank escaped the attack.","WORD_ALIGNED"
"a1445","watik, fthé wäfiyoknath nafa nima zr ŋarnath mogarkam","watik	fthé	wä\fiyok/nath	nafa	nima	zr	ŋa\rn/ath	mogarkam","then	when	2|3DU>3SG.F:PST:IPFV\make	3NSG.ERG	like_this	tooth	2|3DU:PST:IPFV\do	PLN","When they did so, they allied themselves with (the people of) Mogarkam.","zr ŋarär is a fixed expression meaning 'ally oneself with' (lit. 'do the teeth').","WORD_ALIGNED"
"a1447","kabe zfth fobo nä thwamnzrm fof","kabe	zfth	fobo	nä	thwa\m/nzrm	fof","man	tree_base	DIST:ALL	INDF	2|3PL:PST:DUR\sit	EMPH","Some of their elders were living there.","","WORD_ALIGNED"
"a1448","nima wäfiyoknath fethka kar","nima	wä\fiyok/nath	fethka	kar","like_this	2|3DU>3SG.F:PST:IPFV\make	PLN	village","Likewise with Fethkakar,","","WORD_ALIGNED"
"a1450","nä zr fobo zarath fof","nä	zr	fobo	za\r/ath	fof","INDF	tooth	DIST:ALL	2|3PL>3SG.F:PST:PFV\do	EMPH","they also allied themselves with them,","","WORD_ALIGNED"
"a1451","nä zbo zf nafanme kabe zfth fefe faremanemedbo","nä	zbo	zf	nafanme	kabe	zfth	fefe	farem	=ane	=medbo","INDF	PROX:ALL	ABSC	3NSG.POSS	man	tree_base	really	PLN	=POSS.SG	=ALL.ANIM.NSG","some came from here, some of their elders were from the Farem people.","","WORD_ALIGNED"
"a1452","ane zr fthé ŋarnath","ane	zr	fthé	ŋa\rn/ath","DEM	tooth	when	2|3DU:PST:IPFV\do","So they had formed an alliance at that time.","","WORD_ALIGNED"
"a1453","watik, kabe zba eyaka bobo bäne tämnzüfi","watik	kabe	zba	e\yak/a	bobo	bäne	tämnzüfi","then	man	PROX:ABL	2|3PL:PST:IPFV\walk	MED:ALL	PH.ABS	PLN","Next the headhunters walked from here to whatchamacallit, to Tämnzüfi.","","WORD_ALIGNED"
"a1455","fä ŋamosinzath wärzwänzath","fä	ŋa\mosi/nzath	wä\rzwä/nzath","DIST	2|3PL:PST:IPFV\gather	2|3PL>3SG.F.IO:PST:IPFV\discuss","They gathered there and discussed things,","","WORD_ALIGNED"
"a1456","monme kwa thräkwrmth fof tdöfin kabe","mon	=me	kwa	thrä\kwr/mth	fof	tdöfi	=en	kabe","how	=INS	FUT	2|3PL>2|3PL:IRR:PFV:DUR\hit	EMPH	PLN	=LOC	people","how they will attack the people of Téndöfi.","","WORD_ALIGNED"
"a1458","tdöfin kabe fäth bä mane thwamnzrm fof safsane kabe erera","tdöfi	=en	kabe	fäth	bä	mane	thwa\m/nzrm	fof	safs	=ane	kabe	e\rä/ra","PLN	=LOC	man	DIM	MED	which	2|3PL:PST:DUR\sit	EMPH	PLN	=POSS.SG	people	2|3PL:PST:IPFV\be","A few people living in Téndöfi were from Safés.","","WORD_ALIGNED"
