"ID","Primary_Text","Analyzed_Word","Glosses","Translation","Comment","LGR"
"a1189","okay kwa nathkärwé","okay	kwa	na\thkär/wé","okay	FUT	1SG>2SG.IO:NPST:IPFV\start","Okay, I'll start talking to you now.","","WORD_ALIGNED"
"a1190","nzürna trikasi kwa nathkärwé","nzürna	trikasi	kwa	na\thkär/wé","spirit_woman	story	FUT	1SG>2SG.IO:NPST:IPFV\start","I will start the Nzürna story for you.","","WORD_ALIGNED"
"a1191","kar ane fof rouku","kar	ane	fof	rouku","place	DEM	EMPH	Rouku","The place (is) Rouku.","","WORD_ALIGNED"
"a1193","fä fof thwamnzrm boba yabär","fä	fof	thwa\m/nzrm	boba	yabär","DIST	EMPH	2|3PL:PST:DUR\sit	MED:ABL	PLN","The people were living in Yambär.","","WORD_ALIGNED"
"a1194","yabären watik erugwra ewäkwa","yabär	=en	watik	e\ru/gwra	e\wäk/wa","PLN	=LOC	then	2|3SG:PST:IPFV\sleep	2|3SG:PST:IPFV\daybreak_on_sb","They slept in Yambär.","","WORD_ALIGNED"
"a1196","ttfö nima rä dimsathak","ttfö	nima	\rä/	dimsathak","creek	like_this	3SG.F:NPST:IPFV\be	PLN","There is a creek is at Dimsathak.","","WORD_ALIGNED"
"a1198","ttfö rsrsir zefarath kabe ausi fäthä","ttfö	rsr	-si	=r	ze\far/ath	kabe	ausi	fäth	=ä","creek	poison_root_fishing	-NMLZ	=PURP	2|3PL:PST:PFV\set_off	man	old_woman	DIM	=ASSOC","The men and the women went off for poison root fishing.","","WORD_ALIGNED"
"a1201","kabe näbi sfrärm eda ŋarekarä","kabe	näbi	sf\rä/rm	eda	ŋare	=karä","man	one	3SG.M:PST:DUR\be	two	wife	=PROP","There was one man who had two wives.","","WORD_ALIGNED"
"a1202","nge kafarmär madma nafane zaneme","nge	kafar	=mär	madma	nafane	zane	=me","child	big	=PRIV	female	3SG.POSS	DEM:PROX	=INS","The child, a girl, was still young, maybe like this.","He indicates the size of girl with a gesture.","WORD_ALIGNED"
"a1203","nafaŋamayé berno zöbthé","nafa-	ŋama	=é	b=	e\rn/o	zöbthé","3.POSS-	mother	=ABS.NSG	MED=	2|3DU:NPST:IPFV:AND\be	first","Her mothers went ahead,","","WORD_ALIGNED"
"a1204","watik nafaŋafe roukun bobo komnzo swamnzrm","watik	nafa-	ŋafe	rouku	=en	bobo	komnzo	swa\m/nzrm","then	3.POSS-	father	PLN	=LOC	MED:ALL	only	3SG.M:PST:DUR\sit","while the father stayed in Rouku.","","WORD_ALIGNED"
"a1206","nge thrma kwabragwrmo madma","nge	thrma	kwa\brag/wrmo	madma","child	later	SG:PST:DUR:AND\follow	female","The girl followed behind.","","WORD_ALIGNED"
"a1207","fi nzürna ŋare foba wataya fz masun zba mane rä kafar","fi	nzürna	ŋare	foba	wataya	fz	masu	=en	zba	mane	\rä/	kafar","but	spirit_woman	woman	DIST:ABL	PLN	forest	PLN	=LOC	PROX:ABL	which	3SG.F:NPST:IPFV\be	big","The Nzürna lived in the big forest of Wataya on the Masu side.","","WORD_ALIGNED"
"a1208","foba nima zwanyakm zzarkarä ttfön","foba	nima	zwan\yak/m	zzar	=karä	=en","DIST:ABL	like_this	3SG.F:PST:DUR:VENT\come	fish_net	=PROP	=LOC","She came this way with her fish net catching fish at the creek,","","WORD_ALIGNED"
"a1210","katan kofäkofä ŋarufay","katan	kofä~	kofä	ŋarufay","small	REDUP~	fish	fish_species","small fish, the ŋarufay fish.","ŋarufay ""northern purple-spotted gudgeon"" (Morgunda Morgunda)","WORD_ALIGNED"
"a1211","naf ane thfnfrzrm","naf	ane	thfn\frz/rm","3SG.ERG	DEM	SG>2|3PL:PST:DUR:VENT\catch_with_net","She was catching those ones.","","WORD_ALIGNED"
"a1212","wati emoth fäth zba katan zräro","wati	emoth	fäth	zba	katan	z=	\rä/ro","then	girl	DIM	PROX:ABL	small	PROX=	3SG.F:NPST:IPFV:AND\be","The small girl was walking past,","","WORD_ALIGNED"
"a1213","watik fobo fof zamarath fof","watik	fobo	fof	za\mar/ath	fof","then	DIST:ALL	EMPH	2|3DU:PST:PFV\see	EMPH","when they saw each other.","","WORD_ALIGNED"
"a1214","foba wsza ""awe ah","foba	w\sz/a	awe	ah","DIST:ABL	SG>3SG.F:PST:IPFV\call	come	ah","The Nzürna called out to her: ""Come over!","","WORD_ALIGNED"
"a1215","käntf ah zanfr z zäkorth!","kän\tf/	ah	zanfr	z	zä\kor/th","2SG:IMP:PFV:VENT\walk	ah	long	ALR	2|3PL:RPST:PFV\become","Come here! The others are already far ahead.","","WORD_ALIGNED"
"a1216","ni zä zf namrn","ni	zä	zf	na\m/rn","1NSG	PROX	IMM	1DU:NPST:IPFV\sit","Let's stay here.","","WORD_ALIGNED"
"a1217","""zane zf kwa ŋafrzne""","zane	zf	kwa	ŋa\frz/ne","DEM:PROX	IMM	FUT	1DU:NPST:IPFV\catch_with_net","We will poison this (creek) right here.""","","WORD_ALIGNED"
"a1219","watik gaso zwathugwrm","watik	gaso	zwa\thug/wrm","then	badly	SG>3SG.F:PST:DUR\trick","She was deceiving her badly,","","WORD_ALIGNED"
"a1220","kma nima nafaŋame kma","kma	nima	nafa-	ŋame	kma","POT	like_this	3.POSS-	mother	POT","pretending to be one of her mothers.","","WORD_ALIGNED"
"a1221","zräkor ""bobo gniyaké oh""","zrä\kor/	bobo	gn\yak/é	oh","2|3SG>3SG.F:IRR:PFV\speak	MED:ALL	2SG:IMP:IPFV\walk	oh","She said to her ""You go over there!","","WORD_ALIGNED"
"a1222","""boba n thanmrinzé""","boba	n	than\mri/nzé","MED:ABL	IMN	2SG>2|3PL:IMP:IPFV:VENT\chase","Try to chase (the fish) this way!""","","WORD_ALIGNED"
"a1223","katan kofäkofä zzarkarä fof nzürna ŋare","katan	kofä~	kofä	zzar	=karä	fof	nzürna	ŋare","small	REDUP~	fish	fish_net	=PROP	EMPH	spirit_woman	woman","The Nzürna caught small fish with her net.","","WORD_ALIGNED"
"a1225","watik naf thwanmrinzrm taba","watik	naf	thwan\mri/nzrm	taba","then	3SG.ERG	SG>2|3PL:PST:DUR:VENT\chase	plenty","She caught them until (the fish net) was full.","","WORD_ALIGNED"
"a1226","nzürna ŋaref yakme ane thwanathrm kwafyunzrm mthi","nzürna	ŋare	=f	yakme	ane	thwa\na/thrm	kwa\fyu/nzrm	mthi","spirit_woman	woman	=ERG.SG	quickly	DEM	SG>2|3PL:PST:DUR\eat	SG:PST:DUR\swallow	whole","The Nzürna ate them up quickly. She gulped down the whole fish.","","WORD_ALIGNED"
"a1227","we bräro we nä kanzkanzfo","we	b=	\rä/ro	we	nä	kanzkanz	=fo","also	MED=	3SG.F:NPST:IPFV:AND\be	also	INDF	crookedness	=ALL","They walked to another bend in the creek.","","WORD_ALIGNED"
"a1229","we änmrinza we gwrr gwrr gwrr","we	än\mri/nza	we	gwrr	gwrr	gwrr","also	SG>2|3PL:PST:IPFV:VENT\chase	also	sound_of_swallowing	sound_of_swallowing	sound_of_swallowing","She caught them and again ""nom nom nom"" (she swallowed them).","gwrr kwan ""sound of swallowing something down""","WORD_ALIGNED"
"a1230","naf emoth fäthf zremar ""ŋame zane keke rä","naf	emoth	fäth	=f	zre\mar/	ŋame	zane	keke	\rä/","3SG.ERG	girl	DIM	=ERG.SG	2|3SG>3SG.F:IRR:PFV\see	mother	DEM:PROX	NEG	3SG.F:NPST:IPFV\be","The little girl looked at her (and thought) ""This is not my mother.","","WORD_ALIGNED"
"a1231","nzürna ŋare rä""","nzürna	ŋare	\rä/","spirit_woman	woman	3SG.F:NPST:IPFV\be","This is a Nzürna""","","WORD_ALIGNED"
"a1232","nima zwamägwrmo fz zawe kafar fzfo watayafo","nima	zwa\mäg/wrmo	fz	zawe	kafar	fz	=fo	wataya	=fo","like_this	SG>3SG.F:PST:DUR:AND\lead	forest	right	big	forest	=ALL	PLN	=ALL","The Nzürna was leading her further into the forest at Wataya.","","WORD_ALIGNED"
"a1233","watik zräkor ""bobo gniyaké oh zagrwä""","watik	zrä\kor/	bobo	gn\yak/é	oh	zagr	=wä","then	2|3SG>3SG.F:IRR:PFV\speak	MED:ALL	2SG:IMP:IPFV\walk	oh	far	=EMPH","Then she said ""You go a bit further over there!""","","WORD_ALIGNED"
"a1235","emoth fthé mane wyaka ane bobo nä kanzkanzfo","emoth	fthé	mane	w\yak/a	ane	bobo	nä	kanzkanz	=fo","girl	when	which	3SG.F:PST:IPFV\walk	DEM	MED:ALL	INDF	crookedness	=ALL","The girl went to another bend (in the creek).","","WORD_ALIGNED"
