"ID","Primary_Text","Analyzed_Word","Glosses","Translation","Comment","LGR"
"a4657","zokwasi fefeme natrikwé o markai zokwasime?","zokwasi	fefe	=me	na\trik/wé	o	markai	zokwasi	=me","speech	really	=INS	1SG>2SG.IO:NPST:IPFV\tell	or	outsider	speech	=INS","Should I tell you the story in Komnzo or in English?","I reply: keke, zokwasi fefeme. ""No, in Komnzo.""","WORD_ALIGNED"
"a4658","zokwasi fefeme natrikwé","zokwasi	fefe	=me	na\trik/wé","speech	really	=INS	1SG>2SG.IO:NPST:IPFV\tell","I will tell it in Komnzo.","","WORD_ALIGNED"
"a4659","watikthmenzo","watik	-thé	=me	=nzo","then	-ADLZR	=INS	=ONLY","Okay then.","","WORD_ALIGNED"
"a4660","zaföwä","zafö	=wä","old	=EMPH","A long time ago,","","WORD_ALIGNED"
"a4661","fthé kabe keke kwot tüfr thfrärm","fthé	kabe	keke	kwot	tüfr	thf\rä/rm","when	people	NEG	properly	plenty	2|3PL:PST:DUR\be","there were not many people.","","WORD_ALIGNED"
"a4662","thwamnzrm zane kafar baden thzé kabe enrera","thwa\m/nzrm	zane	kafar	bad	=en	thzé	kabe	en\rä/ra","2|3PL:PST:DUR\sit	DEM:PROX	big	ground	=LOC	whatever	people	2|3PL:PST:IPFV:VENT\be","No matter how many people there were on earth, people came here then.","","WORD_ALIGNED"
"a4663","nä kabe thfamnzrm mogarkamen","nä	kabe	thfa\m/nzrm	mogarkam	=en","INDF	people	2|3PL:PST:DUR\sit	PLN	=LOC","Some people were living in Mogarkam.","","WORD_ALIGNED"
"a4665","kar nima rä mogarkam","kar	nima	\rä/	mogarkam","village	like_this	3SG.F:NPST:IPFV\be	Mogarkam","Mongarkam is a village.","","WORD_ALIGNED"
"a4667","okay, nä thfamnzrm firran","okay	nä	thfa\m/nzrm	firra	=en","okay	INDF	2|3PL:PST:DUR\sit	firra	=LOC","Okay, others lived in Firra.","","WORD_ALIGNED"
"a4668","okay, nä fä fefe thwamnzrm mänwä kar bramöwä erä","okay	nä	fä	fefe	thwa\m/nzrm	mänwä	kar	bramöwä	e\rä/","okay	INDF	DIST	really	2|3PL:PST:DUR\sit	where.EMPH	village	all	2|3PL:NPST:IPFV\be","Still others lived in the places where their respective villages were located.","","WORD_ALIGNED"
"a4669","firra mrmren mane zfrärm nzürna ŋare bobo zwamnzrm","firra	mrmr	=en	mane	zf\rä/rm	nzürna	ŋare	bobo	zwa\m/nzrm","firra	inside	=LOC	which	3SG.F:PST:DUR\be	spirit_woman	woman	MED:ALL	3SG.F:PST:DUR\sit","Inside Firra, there was a Nzürna, who lived there.","","WORD_ALIGNED"
"a4672","nzürna ŋare nafafisrwä thfrnm","nzürna	ŋare	nafa-	fis	=r	=wä	thf\rn/m","spirit_woman	woman	3.POSS-	husband	=ASSOC.DU	=EMPH	2|3DU:PST:DUR\be","The Nzürna lived together with her husband.","","WORD_ALIGNED"
"a4673","nafafis yf nagawa","nafa-	fis	yf	nagawa","3.POSS-	husband	name	PN","Her husband's name was Nangawa.","","WORD_ALIGNED"
"a4674","tnztnz kabe sfrärm","tnz~	tnz	kabe	sf\rä/rm","REDUP~	short	man	3SG.M:PST:DUR\be","He was a bit of a small guy.","","WORD_ALIGNED"
"a4675","nafane ŋare nzürna ŋare fof yf mane zfrärm zafo","nafane	ŋare	nzürna	ŋare	fof	yf	mane	zf\rä/rm	zafo","3SG.POSS	wife	spirit_woman	woman	EMPH	name	which	3SG.F:PST:DUR\be	PN","As for his wife, that Nzürna's name was Zafo.","","WORD_ALIGNED"
"a4678","nafrr thwamrnm","nafrr	thwa\m/rnm","3DU.ASSOC	2|3DU:PST:DUR\sit","They lived together.","","WORD_ALIGNED"
