"ID","Primary_Text","Analyzed_Word","Glosses","Translation","Comment","LGR"
"a1652","nabon ezi","nabon	ezi","good	morning","Good morning!","","WORD_ALIGNED"
"a1653","nä zokwasi we zathkäfé bresanema","nä	zokwasi	we	za\thkäf/é	bres	=ane	=ma","INDF	speech	also	1SG>3SG.F:RPST:PFV\start	PN	=POSS.SG	=CHAR","I'll begin another story about Bres.","","WORD_ALIGNED"
"a1655","okay, bres bä swamnzrm yirkon","okay	bres	bä	swa\m/nzrm	yirko	=en","okay	PN	MED	3SG.M:PST:DUR\sit	PLN	=LOC","Okay, Bres was living in Yirko.","","WORD_ALIGNED"
"a1656","edäwä ŋare swarärm","eda	=wä	ŋare	swa\rä/rm","two	=EMPH	woman	3SG.M.IO:PST:DUR\be","He had two wives.","","WORD_ALIGNED"
"a1657","nä kanfokma nä masuma","nä	kanfok	=ma	nä	masu	=ma","INDF	PLN	=CHAR	INDF	PLN	=CHAR","One wife was from Kanfok and the other was from Masu.","","WORD_ALIGNED"
"a1658","ane ŋare mane thfrnm nge matak","ane	ŋare	mane	thf\rn/m	nge	matak","DEM	woman	which	2|3DU:PST:DUR\be	child	nothing","Neither of those two women had children.","","WORD_ALIGNED"
"a1659","bres mane sfrärm fiyaf kabe yara","bres	mane	sf\rä/rm	fiyaf	kabe	ya\r/a","PN	which	3SG.M:PST:DUR\be	hunt	man	3SG.M:PST:IPFV\be","Bres was a hunter,","","WORD_ALIGNED"
"a1662","fara kabe yara","fara	kabe	ya\r/a","night_hunting	man	3SG.M:PST:IPFV\be","a night hunter.","","WORD_ALIGNED"
"a1663","nima sfiyakm  bäne kwonätrkr dbäwth","nima	sf\yak/m	bäne	kwonätrkr	dbäwth","like_this	3SG.M:PST:DUR\walk	PH.ABS	PLN	PLN","He used to go this way, to Kwonä Trkr and to Débäwéth.","","WORD_ALIGNED"
"a1666","okay, nzürna ŋare fä fof zwamnzrm dbäwthen","okay	nzürna	ŋare	fä	fof	zwa\m/nzrm	dbäwth	=en","okay	spirit_woman	woman	DIST	EMPH	3SG.F:PST:DUR\sit	PLN	=LOC","Okay, there was a Nzürna living in Débäwéth.","","WORD_ALIGNED"
"a1668","nä kayé bäne swarärm kut ŋatr","nä	kayé	bäne	swa\rä/rm	kut	ŋatr","INDF	one_day_away	PH.ABS	3SG.M.IO:PST:DUR\be	trap	string","One day he had set a whatchmacallit, a trap with a bamboo string.","","WORD_ALIGNED"
"a1672","ezi sfiyakm ane thunfirakwrm taurir ruga yem","ezi	sf\yak/m	ane	thun\firak/wrm	tauri	=r	ruga	yem","morning	3SG.M:PST:DUR\walk	DEM	SG>2|3PL:PST:DUR:VENT\take_from_net	wallaby	=PURP	pig	cassowary","He went early in the morning. He caught wallaby, pig and cassowary.","","WORD_ALIGNED"
"a1674","thunzänzrm bobo fof mnzfo","thun\zä/nzrm	bobo	fof	mnz	=fo","SG>2|3PL:PST:DUR:VENT\carry	MED:ALL	EMPH	house	=ALL","He carried them back to the house.","","WORD_ALIGNED"
"a1676","karome thurzathrmth edawä ŋariyé","karo	=me	thu\rza/thrmth	eda	=wä	ŋare	=é","ground_oven	=INS	2|3PL>2|3PL:PST:DUR\bake	two	=EMPH	woman	=ERG.NSG","The two wives cooked them in the oven.","","WORD_ALIGNED"
"a1678","nä kayé farem bramöwä zane thäkuka. wathr eyaka nima kanfok","nä	kayé	farem	bramöwä	zane	thä\kuk/a	wath	=r	e\yak/a	nima	kanfok","INDF	one_day_away	Farem	all	DEM:PROX	2|3PL:PST:PFV\stand	dance	=PURP	2|3PL:PST:IPFV\walk	like_this	Kanfok","One day all the Farem people went for a dance at Kanfok.","","WORD_ALIGNED"
"a1681","nzürna wath yara","nzürna	wath	ya\r/a","spirit_woman	dance	3SG.M:PST:IPFV\be","It was a nzürna dance.","This is the traditional dance style of the Farem people.","WORD_ALIGNED"
"a1682","bresane ŋare mane erna ane wath znfo zabramath","bres	=ane	ŋare	mane	e\rn/a	ane	wath	zn	=fo	za\bram/ath","Bres	=POSS.SG	woman	which	2|3DU:PST:IPFV\be	DEM	dance	place	=ALL	2|3DU:PST:PFV\follow","Bres' wives followed the others to that dancing place.","","WORD_ALIGNED"
"a1684","thgathifath bres ausi","th\gathif/ath	bres	ausi","2|3PL>2|3DU:PST:PFV\leave	Bres	old_woman","They left Bres and the old woman behind.","","WORD_ALIGNED"
"a1686","ŋariyé zafarath ezi fi zefara ŋatr sir","ŋare	=é	za\far/ath	ezi	fi	ze\far/a	ŋatr	si	=r","woman	=ABS.NSG	2|3DU:PST:PFV\set_off	morning	3.ABS	SG:PST:PFV\set_off	string	eyes	=PURP","After the women had left, (Bres) went off to check his traps in the morning.","","WORD_ALIGNED"
"a1687","efirakwa tauri rusa ruga","e\firak/wa	tauri	rusa	ruga","SG>2|3PL:NPST:IPFV\take_from_net	wallaby	deer	pig","He took out a wallaby, a deer and a pig.","","WORD_ALIGNED"
"a1690","wati karo zathkäfath thomonsi fof","wati	karo	za\thkäf/ath	thomon	-si	fof","then	ground_oven	2|3PL>3SG.F:PST:PFV\start	make_fire	-NMLZ	EMPH","He prepared the oven and piled up firewood.","","WORD_ALIGNED"
"a1693","karo wäfiyokwr dbäwthen","karo	wä\fiyok/wr	dbäwth	=en","ground_oven	2|3SG>3SG.F:NPST:IPFV\make	PLN	=LOC","He made that oven in Débäwéth.","","WORD_ALIGNED"
"a1694","fä sfrärm","fä	sf\rä/rm","DIST	3SG.M:PST:DUR\be","He stayed over there.","","WORD_ALIGNED"
"a1695","wati thufränzrm","wati	thu\frä/nzrm","then	SG>2|3PL:PST:DUR\singe_off","He burnt off the fur.","","WORD_ALIGNED"
"a1696","nzürna ŋare fthé zanthora","nzürna	ŋare	fthé	zan\thor/a","spirit_woman	woman	when	3SG.F:PST:PFV:VENT\appear","That was when the Nzürna appeared.","","WORD_ALIGNED"
"a1697","zanrna ""nzone nge ranzo äfiyokwr?""","zan\rn/a	nzone	nge	ra	=nzo	ä\fiyok/wr","3SG.F:PST:PFV:VENT\shout	1SG.POSS	child	what.ABS	=ONLY	2|3SG>2|3PL:NPST:IPFV\make","She called out to him ""My child, what are you doing?""","","WORD_ALIGNED"
"a1698","nima bresf zamara ""eh","nima	bres	=f	za\mar/a	eh","like_this	Bres	=ERG.SG	SG>3SG.F:PST:PFV\see	hey","Bres saw her (and thought) ""Hey,","","WORD_ALIGNED"
"a1699","ŋamyf zanema zf kwanafr","ŋame	=f	zane	=ma	zf	kwa\naf/r","mother	=ERG.SG	DEM:PROX	=CHAR	ABSC	2|3SG:RPST:IPFV:VENT\talk","my mother told me about this one.","","WORD_ALIGNED"
"a1700","zanema fof nzürna ŋare zä ŋamränzr","zane	=ma	fof	nzürna	ŋare	zä	ŋa\mrä/nzr","DEM:PROX	=CHAR	EMPH	spirit_woman	woman	PROX	2|3SG:NPST:IPFV\stroll","about this nzürna who is moving around here.","","WORD_ALIGNED"
"a1702","""kwot kamonegwé"" zane kwakonzr zf""","kwot	ka\moneg/wé	zane	kwa\ko/nzr	zf","properly	2SG:IMP:IPFV\wait	DEM:PROX	2|3SG>1SG:RPST:IPFV\speak	ABSC","""You be careful!"" is what she told me.""","","WORD_ALIGNED"
"a1704","zakora ""wth ane thäthor","za\kor/a	wth	ane	thä\thor/","SG>3SG.F:PST:PFV\speak	faeces	DEM	2SG>2|3PL:IMP:PFV\carry","He told her ""You take the intestines and","","WORD_ALIGNED"
"a1705","thänmayuf nofo""","thän\mayuf/	no	=fo","2SG>2|3PL:IMP:PFV:VENT\wash	water	=ALL","wash them in the water!""","","WORD_ALIGNED"
"a1706","fi mane ezänza ane thefafa bramöwä no znfo","fi	mane	e\zä/nza	ane	thä\faf/a	bramöwä	no	zn	=fo","3.ABS	which	SG>2|3PL:PST:IPFV\carry	DEM	SG>2|3PL:PST:PFV\hold	all	water	place	=ALL","She carried all to the water.","","WORD_ALIGNED"
"a1708","kma trutruf zukarkwrm ane fof thwanathrm trtha","kma	trutru	=f	zu\kark/wrm	ane	fof	thwa\na/thrm	trtha","POT	stream	=ERG.SG	SG>3SG.F:PST:DUR\pull	DEM	EMPH	SG>2|3PL:PST:DUR\eat	life","The stream of water almost tore them out of her hands. So she ate them (intestines) raw.","","WORD_ALIGNED"
"a1709","kwafyunzrm","kwa\fyu/nzrm","SG:PST:DUR\swallow","She swallowed them down.","","WORD_ALIGNED"
"a1710","foba wännora ""bres kanmath","foba	wän\nor/a	bres	kan\math/","DIST:ABL	3SG.F:PST:IPFV:VENT\shout	Bres	2SG:IMP:PFV:VENT\run","She shouted ""Bres come quickly!","","WORD_ALIGNED"
"a1712","trutruf nof zezänzr bäne.""","trutru	=f	no	=f	z=	e\zä/nzr	bäne","stream	=ERG.SG	water	=ERG.SG	PROX=	2|3SG>2|3PL:NPST:IPFV\carry	PH.ABS","The water current carries them away.""","","WORD_ALIGNED"
"a1713","bres nima ŋankwir keke matak","bres	nima	ŋan\kwir/	keke	matak","Bres	like_this	2|3SG:NPST:IPFV:VENT\run	NEG	nothing","Bres ran towards her, but the guts were gone.","","WORD_ALIGNED"
"a1715","fam zära ""eh z nzänathr""","fam	zä\r/a	eh	z	nz=	ä\na/thr","thought	SG:PST:PFV\do	hey	IAM	IPST=	2|3SG>2|3PL:NPST:IPFV\eat","He thought ""She just ate them.""","","WORD_ALIGNED"
"a1716","bres gatha fam","bres	gatha	fam","Bres	bad	thought","Bad thoughts arose in his mind.","","WORD_ALIGNED"
