"ID","Primary_Text","Analyzed_Word","Glosses","Translation","Comment","LGR"
"a2214","nzone yf rä abia","nzone	yf	\rä/	abia","1SG.POSS	name	3SG.F:NPST:IPFV\be	PN","My name is Abia.","","WORD_ALIGNED"
"a2216","nzä worä rokuma","nzä	wo\rä/	roku	=ma","1SG.ABS	1SG:NPST:IPFV\be	PLN	=CHAR","I am from Rouku.","","WORD_ALIGNED"
"a2218","nzone ŋafe bäi","nzone	ŋafe	bäi","1SG.POSS	father	PN","My father was Bäi.","","WORD_ALIGNED"
"a2219","trikasi bänema kwa natrikwé","trikasi	bäne	=ma	kwa	na\trik/wé","story	PH	=CHAR	FUT	1SG>2SG.IO:NPST:IPFV\tell","I'm going to tell you a story about what's-his-name.","","WORD_ALIGNED"
"a2220","kabe tnz yf sfrärm kukufia","kabe	tnz	yf	sf\rä/rm	kukufia","man	short	name	3SG.M:PST:DUR\be	PN","The short man's name was Kukufia.","","WORD_ALIGNED"
"a2221","kukufia mane yara masun swamnzrm","kukufia	mane	ya\r/a	masu	=en	swa\m/nzrm","PN	which	3SG.M:PST:IPFV\be	PLN	=LOC	3SG.M:PST:DUR\sit","Kukufia lived in Masu.","","WORD_ALIGNED"
"a2223","nafane ŋare edawä","nafane	ŋare	eda	=wä","3SG.POSS	wife	two	=EMPH","He had two wives.","","WORD_ALIGNED"
"a2225","nä kayé kabe zä swamnzrm we rokun","nä	kayé	kabe	zä	swa\m/nzrm	we	roku	=en","INDF	one_day_away	man	PROX	3SG.M:PST:DUR\sit	also	PLN	=LOC","There was another man who lived here in Rouku.","","WORD_ALIGNED"
"a2227","näbi ŋarekarä fi sfrärm","näbi	ŋare	=karä	fi	sf\rä/rm","one	wife	=PROP	3.ABS	3SG.M:PST:DUR\be","He had one wife.","","WORD_ALIGNED"
"a2228","fi zefara bi farsir","fi	ze\far/a	bi	far	-si	=r","3.ABS	SG:PST:PFV\set_off	sago	fell	-NMLZ	=PURP","He set off to cut down a sago palm.","","WORD_ALIGNED"
"a2230","karesa zfth kar yf rä","karesa_zfth	kar	yf	\rä/","PLN	place	name	3SG.F:NPST:IPFV\be","The name of that place is Karesa Zfth.","","WORD_ALIGNED"
"a2232","watik karesa zfthen fi bä bsfrärm","watik	karesa_zfth	=en	fi	bä	b=	sf\rä/rm","then	PLN	=LOC	3.ABS	MED	MED=	3SG.M:PST:DUR\be","While he was there at Karesa Zfth,","","WORD_ALIGNED"
"a2234","nagayé zbo thgathinzako","nagayé	zbo	th\gathinz/ako","children	PROX:ALL	SG>2|3DU:PST:PFV:AND\leave","he left his two children here,","","WORD_ALIGNED"
"a2235","madma kafarwä a srak nge katanwä","madma	kafar	=wä	a	srak	nge	katan	=wä","female	big	=EMPH	and	boy	child	small	=EMPH","the older girl and younger boy.","","WORD_ALIGNED"
"a2238","nä kayé kukufia zenfara kofär","nä	kayé	kukufia	zen\far/a	kofä	=r","INDF	one_day_away	PN	SG:PST:PFV:VENT\set_off	fish	=PURP","One day, Kukufia set off to go fishing.","","WORD_ALIGNED"
"a2241","ŋarsfo zärsöfätha gardame rafisir kofä thoraksir","ŋars	=fo	zä\rsöfäth/a	garda	=me	rafi	-si	=r	kofä	thorak	-si	=r","river	=ALL	2|3SG:PST:PFV\descend	canoe	=INS	paddle	-NMLZ	=PURP	fish	search	-NMLZ	=PURP","He went down to the river to paddle his canoe and look for fish.","","WORD_ALIGNED"
"a2243","nafane gäw kofä rusima","nafane	gäw	kofä	ru	-si	=ma","3SG.POSS	fish_spear	fish	shoot	-NMLZ	=CHAR","He had his harpoon to spear fish.","","WORD_ALIGNED"
"a2245","ane entharukwr gardame krentharuf krenfar","ane	en\tharuk/wr	garda	=me	kren\tharuf/	kren\far/","DEM	2|3SG>2|3PL:NPST:IPFV:VENT\enter_open_cont	canoe	=INS	2|3SG:IRR:PFV:VENT\enter_open_cont	2|3SG:IRR:PFV:VENT\set_off","He put the things in the canoe. He got into the canoe and set off.","","WORD_ALIGNED"
"a2246","ŋanrafinzr e mnzärfr","ŋan\rafi/nzr	e	mnzärfr","2|3SG:NPST:IPFV:VENT\paddle	until	PLN","He paddled all the way to the Mnzärfr.","","WORD_ALIGNED"
"a2248","kar yf rä ŋars rokurokun","kar	yf	\rä/	ŋars	rokuroku	=en","place	name	3SG.F:NPST:IPFV\be	river	river_bank	=LOC","This is a place on the riverbank.","","WORD_ALIGNED"
"a2249","wati garda fä sanzina foba krenfar","wati	garda	fä	san\zin/a	foba	kren\far/","then	canoe	DIST	SG>3SG.M:PST:PFV:VENT\put_down	DIST:ABL	2|3SG:IRR:PFV:VENT\set_off","Then he left the canoe there and started to walk up here.","","WORD_ALIGNED"
"a2250","zänfrefa sränrn","zän\fref/a	srän\rn/","2|3SG:PST:PFV:VENT\come_up_from_river	3SG.M:IRR:PFV:VENT\shout","When he came up, he shouted.","","WORD_ALIGNED"
"a2251","nafane yf zunbräknwrm ""kukufia kukufia kukufia""","nafane	yf	zun\bräkn/wrm	kukufia	kukufia	kukufia","3SG.POSS	name	SG>3SG.M:PST:DUR:VENT\call_out	PN	PN	PN","He called his name ""Kukufia Kukufia Kukufia"".","","WORD_ALIGNED"
"a2255","wati katan nagayé fäthane ŋafe frükaren krakaristh","wati	katan	nagayé	fäth	=ane	ŋafe	frü	kar	=en	kra\karis/th","then	small	children	DIM	=POSS.SG	father	alone	place	=LOC	2|3DU:IRR:PFV\hear","In the absence of their father, the little children heard this.","","WORD_ALIGNED"
"a2256","""ngth kabe yanor""","ngth	kabe	ya\nor/","younger_sibling	man	3SG.M:NPST:IPFV\shout","""Little brother, there's a man shouting!""","","WORD_ALIGNED"
"a2258","fi mnzen boba thfrnm","fi	mnz	=en	boba	thf\rn/m","3.ABS	house	=LOC	MED:ABL	2|3DU:PST:DUR\be","The two were there in the house,","","WORD_ALIGNED"
"a2259","etfth mnzen kafar mnzen","etfth	mnz	=en	kafar	mnz	=en","sleep	house	=LOC	big	house	=LOC","in the sleeping house, in the big house.","","WORD_ALIGNED"
"a2260","watik kukufia yanyak","watik	kukufia	yan\yak/","then	PN	3SG.M:NPST:IPFV:VENT\come","Then Kukufia approached.","","WORD_ALIGNED"
"a2261","kräs ""ey bä mane ethkgr mnzen?""","krä\s/	ey	bä	mane	e\th/kgr	mnz	=en","2|3SG:IRR:PFV\ask	hey	2SG.ABS	which	2|3PL:NPST:STAT\be_inside	house	=LOC","He asked them, ""Hey, who are you in the house?","","WORD_ALIGNED"
"a2262","""bä nä mane zbo nthkgr?""","bä	nä	mane	zbo	n\th/kgr","2SG.ABS	INDF	which	PROX:ALL	2SG:NPST:STAT\be_inside","Who are you in there?""","","WORD_ALIGNED"
"a2263","keke katakatané nä zayafath","keke	kata~	katan	=é	nä	za\yaf/ath","NEG	REDUP~	small	=ERG.NSG	INDF	2|3DU:PST:PFV\answer","The little ones didn't reply.","","WORD_ALIGNED"
"a2265","yakasi keke","yaka	-si	keke","answer	-NMLZ	NEG","They gave no answer.","","WORD_ALIGNED"
