"ID","Primary_Text","Analyzed_Word","Glosses","Translation","Comment","LGR"
"a4251","bänema kwa ŋatrikwé nzefé","bäne	=ma	kwa	ŋa\trik/wé	nzefé","PH	=CHAR	FUT	1SG:NPST:IPFV\tell	1SG.ERG.EMPH","I will talk about","","WORD_ALIGNED"
"a4252","fenz ane mane ŋonathrth kwosifr kabeaneme bthan kabeyé","fenz	mane	ŋo\na/thrth	kwosifr	kabe	=aneme	bthan	kabe	=é","pus	which	2|3PL:NPST:IPFV\drink	corpse	man	=POSS.NSG	magic	man	=ERG.NSG","the body liquids from a dead man's corpse that the sorcerers are drinking.","","WORD_ALIGNED"
"a4254","trikasi zrethkäfé","trikasi	zre\thkäf/é","story	1SG:IRR:PFV\start","I will start the story.","","WORD_ALIGNED"
"a4255","bthan kabe fthé fenz yonasi","bthan	kabe	fthé	fenz	yona	-si","magic	man	when	pus	drink	-NMLZ","When the sorcerers go for drinking body fluids,","","WORD_ALIGNED"
"a4256","bänemr zrethkäfth mätraksir","bäne	=mr	zre\thkäf/th	mätrak	-si	=r","PH	=PURP	2|3PL:IRR:PFV\start	exit	-NMLZ	=PURP","they would start taking this out.","","WORD_ALIGNED"
"a4257","kzi kwa yafiyokwrth","kzi	kwa	ya\fiyok/wrth","bark_tray	FUT	2|3PL>3SG.M:NPST:IPFV\make","First they make bark tray.","","WORD_ALIGNED"
"a4258","srafiyokwrth karesama kzi srärzirth","sra\fiyok/wrth	karesa	=ma	kzi	srä\rzir/th","2|3PL>3SG.M:IRR:IPFV\make	paperbark	=CHAR	bark_tray	2|3PL>3SG.M:IRR:PFV\bend","They make it from the paperbark tree by bending the bark into shape.","","WORD_ALIGNED"
"a4260","watik kwa eyak nima kwosifr fthé","watik	kwa	e\yak/	nima	kwosifr	fthé","then	FUT	2|3PL:NPST:IPFV\walk	like_this	corpse	when","Then they go to the corpse.","","WORD_ALIGNED"
"a4262","kabe fthé ynänzüthzrth baden","kabe	fthé	y\nänzüthz/rth	bad	=en","man	when	2|3PL>3SG.M:NPST:IPFV\bury	ground	=LOC","People have buried the deceased in the grave","","WORD_ALIGNED"
"a4263","fthé one week srakor","fthé	one	week	sra\kor/","when	one	week	2|3SG>3SG.M.IO:IRR:PFV\become","and around a week after that,","","WORD_ALIGNED"
"a4264","fthé fof krefar ane bthan kabe bobo fokam znfo","fthé	fof	kre\far/	ane	bthan	kabe	bobo	fokam	zn	=fo","when	EMPH	2|3SG:IRR:PFV\set_off	DEM	magic	man	MED:ALL	grave	place	=ALL","the sorcerer sets off to the grave,","","WORD_ALIGNED"
"a4266","fokam mnzfo","fokam	mnz	=fo","grave	house	=ALL","to the grave house.","","WORD_ALIGNED"
"a4267","sikwankwanme zbär thd","sikwankwan	=me	zbär	thd","quietness	=INS	night	middle","He sneaks there in the middle of the night.","","WORD_ALIGNED"
"a4268","kabef keke kwa sremar","kabe	=f	keke	kwa	sre\mar/","man	=ERG.SG	NEG	FUT	2|3SG>3SG.M:IRR:PFV\see","Nobody can see him.","","WORD_ALIGNED"
"a4269","süsübäthen kwa yak tosinmäre kwayanmäre","süsübäth	=en	kwa	\yak/	tosin	=märe	kwayan	=märe","darkness	=LOC	FUT	3SG.M:NPST:IPFV\walk	flashlight	=PRIV	light	=PRIV","He goes there in the dark without a flashlight, without any light.","","WORD_ALIGNED"
"a4272","kwa yak yfrsé gwonyamekarä kwa yé","kwa	\yak/	yfrsé	gwonyame	=karä	kwa	\yé/","FUT	3SG.M:NPST:IPFV\walk	black	clothing	=PROP	FUT	3SG.M:NPST:IPFV\be","He is wearing black clothes.","","WORD_ALIGNED"
