"ID","Primary_Text","Analyzed_Word","Glosses","Translation","Comment","LGR"
"a2475","nima fof","nima	fof","like_this	EMPH","(The story is) like this.","","WORD_ALIGNED"
"a2476","zane mane zafe zokwasi rä","zane	mane	zafe	zokwasi	\rä/","DEM:PROX	which	old	speech	3SG.F:NPST:IPFV\be","This story is an old story,","","WORD_ALIGNED"
"a2477","nzenme ŋafynme","nzenme	ŋafe	=aneme","1NSG.POSS	father	=POSS.NSG","our father's (story).","","WORD_ALIGNED"
"a2479","ŋafyé nafanme zokwasi zrä","ŋafe	=é	nafanme	zokwasi	z=	\rä/","father	=ERG.NSG	3NSG.POSS	speech	PROX=	3SG.F:NPST:IPFV\be","It's the fathers' story.","","WORD_ALIGNED"
"a2481","fthé fi miyamr thfrärm ra masis thfrärm","fthé	fi	miyamr	thf\rä/rm	ra	masis	thf\rä/rm","when	3.ABS	ignorance	2|3PL:PST:DUR\be	what.ABS	matches	2|3PL:PST:DUR\be","It dates back to the time when people didn't yet know what matches were.","","WORD_ALIGNED"
"a2483","wati, anema masis mane thunrärm zba","wati	ane	=ma	masis	mane	thun\rä/rm	zba","then	DEM	=CHAR	matches	which	2|3PL:PST:DUR:VENT\be	PROX:ABL","When those matches first appeared here,","","WORD_ALIGNED"
"a2484","torres strait islandfa thunrärm ane masis","torres_strait_island	=fa	thun\rä/rm	ane	masis","PLN	=ABL	2|3PL:PST:DUR:VENT\be	DEM	matches","they came from the Torres Strait Islands.","","WORD_ALIGNED"
"a2485","wati, keke tüfrma yus thwafiyokwrmth o thufathwrmth","wati	keke	tüfr	=ma	yus	thwa\fiyok/wrmth	o	thu\fath/wrmth","then	NEG	plenty	=CHAR	use	2|3PL>2|3PL:PST:DUR\make	or	2|3PL>2|3PL:PST:DUR\hold","There weren't many people who owned and used them.","","WORD_ALIGNED"
"a2487","nä kabe näbikakmenzo finzo miyatha thfrärm fof","nä	kabe	näbi	-kak	=me	=nzo	fi	=nzo	miyatha	thf\rä/rm	fof","INDF	people	one	-DISTR	=INS	=ONLY	3.ABS	=ONLY	knowledge	2|3PL:PST:DUR\be	EMPH","Only a few people really knew about them.","","WORD_ALIGNED"
"a2488","ane efothen nä kayé z wath rera nima forzitho","ane	efoth	=en	nä	kayé	z	wath	\rä/ra	nima	forzitho","DEM	day	=LOC	INDF	one_day_away	IAM	dance	3SG.F:PST:IPFV\be	like_this	PLN","At this time, there was a feast in Forzitho.","","WORD_ALIGNED"
"a2489","wath rera wati zba kabe äniyaka thäwethath smärkifa","wath	\rä/ra	wati	zba	kabe	än\yak/a	thä\weth/ath	smärki	=fa","dance	3SG.F:PST:IPFV\be	then	PROX:ABL	people	2|3PL:PST:IPFV:VENT\come	2|3PL>2|3PL:PST:PFV\invite	PLN	=ABL","There was a dance and people from here went there. They had also invited people from Smärki.","Smärki is a collective term for various peoples who live further west.","WORD_ALIGNED"
"a2491","forzithoma kabe nä yara mafrr fäms erna","forzitho	=ma	kabe	nä	ya\r/a	mafrr	fäms	e\rn/a","PLN	=CHAR	man	INDF	3SG.M:PST:IPFV\be	who.ASSOC.DU	exchange	2|3DU:PST:IPFV\be","There was one man from Forzitho. He had exchanged wives with those ones.","","WORD_ALIGNED"
"a2492","fi mon bänema yara korthma kabe","fi	mon	bäne	=ma	ya\r/a	korth	=ma	kabe","3.ABS	how	PH.ABS	=CHAR	3SG.M:PST:IPFV\be	PLN	=CHAR	man","He might have been from whatchamacallit, a man from Koréth.","","WORD_ALIGNED"
