"ID","Primary_Text","Analyzed_Word","Glosses","Translation","Comment","LGR"
"a718","zena mane hunting story kwa ŋatrikwé trikasi","zena	mane	hunting	story	kwa	ŋa\trik/wé	trikasi","now	which	hunt	story	FUT	1SG:NPST:IPFV\tell	story","I will tell a hunting story now,","","WORD_ALIGNED"
"a720","fiyafma trikasi nima","fiyaf	=ma	trikasi	nima","hunt	=CHAR	story	like_this","a story about hunting.","","WORD_ALIGNED"
"a721","ni masun nzwamnzrm","ni	masu	=en	nzwa\m/nzrm","1NSG	Masu	=LOC	1PL:PST:DUR\sit","We were living in Masu.","","WORD_ALIGNED"
"a722","wati alice riley fi katakatan thfrnm","wati	alice	riley	fi	kata~	katan	thf\rn/m","then	Alice	Riley	3.ABS	REDUP~	small	2|3DU:PST:DUR\be","Alice and Riley were small.","","WORD_ALIGNED"
"a723","nzenme camp bä zfrärm bä bäne rä brä","nzenme	camp	bä	zf\rä/rm	bä	bäne	\rä/	b=	\rä/","1NSG.POSS	camp	MED	3SG.F:PST:DUR\be	MED	PH.ABS	3SG.F:NPST:IPFV\be	MED=	3SG.F:NPST:IPFV\be","Our camp was that place,","","WORD_ALIGNED"
"a725","ausi kam ane faf zn","ausi	kam	ane	faf	zn","old_woman	bone	DEM	yard	place","at the old woman's place.","","WORD_ALIGNED"
"a726","biskar ŋarake fä zwarärm","biskar	ŋarake	fä	zwa\rä/rm","cassava	garden	DIST	3SG.F.IO:PST:DUR\be","She used to have cassava garden there.","","WORD_ALIGNED"
"a727","paituaf nzräkor nzä fiyafr wiyak","paitua	=f	nzrä\kor/	nzä	fiyaf	=r	w\yak/","old_man	=ERG.SG	2|3SG>1PL:IRR:PFV\speak	1SG.ABS	hunt	=PURP	1SG:NPST:IPFV\walk","Father said to us ""I'll go hunting"".","","WORD_ALIGNED"
"a729","afa sande zefara fiyafr","afa	sande	ze\far/a	fiyaf	=r","father	Sunday	SG:PST:PFV\set_off	hunt	=PURP","It was on Sunday. Father set off to go hunting.","","WORD_ALIGNED"
"a732","boba wazi kuf boba rä","boba	wazi	kuf	boba	\rä/","MED:ABL	side	PLN	MED:ABL	3SG.F:NPST:IPFV\be","He went across the river to Kuf.","","WORD_ALIGNED"
"a734","fä emoth fäth thfamnzrm","fä	emoth	fäth	thfa\m/nzrm","DIST	girl	DIM	2|3PL:PST:DUR\sit","Some young girls were living there,","","WORD_ALIGNED"
"a735","ksi kar emoth fäth","ksi	kar	emoth	fäth","grassland	place	girl	DIM","bush girls.","","WORD_ALIGNED"
"a736","wati afa mane zefara byé","wati	afa	mane	ze\far/a	b=	\yé/","then	father	which	SG:PST:PFV\set_off	MED=	3SG.M:NPST:IPFV\be","As father departed,","","WORD_ALIGNED"
"a737","ruga ane sathkäfa ŋathame","ruga	ane	sa\thkäf/a	ŋatha	=me","pig	DEM	SG>3SG.M:PST:PFV\start	dog	=INS","he began hunting for pigs with his dogs.","","WORD_ALIGNED"
"a739","ŋathayé sathkäfath sfaruthrmth","ŋatha	=é	sa\thkäf/ath	sfa\ru/thrmth","dog	=ERG.NSG	2|3PL>3SG.M.IO:PST:PFV\start	2|3PL>3SG.M.IO:PST:DUR\bark","The dogs started barking (at the pigs).","","WORD_ALIGNED"
"a741","ane fathnzo zfrärm wämne keke","ane	fath	=nzo	zf\rä/rm	wämne	keke","DEM	clear_place	=ONLY	3SG.F:PST:DUR\be	tree	NEG","This was a clear place without trees,","","WORD_ALIGNED"
"a742","dödönzo","dödö	=nzo","melaleuca_species	=ONLY","only dödö bushes.","","WORD_ALIGNED"
"a743","dödö maneme ŋarenwre fath","dödö	mane	=me	ŋa\ren/wre	fath","melaleuca_species	which	=INS	1PL:NPST:IPFV\sweep	clear_place","Thsh dödö which we use as a broom.","","WORD_ALIGNED"
"a744","ane frnzo zfrärm","ane	fr	=nzo	zf\rä/rm","DEM	post	=ONLY	3SG.F:PST:DUR\be","Only those bushes were there.","","WORD_ALIGNED"
"a745","watik afaf ane ruga sathkäfa dunzi fof","wati	afa	=f	ane	ruga	sa\thkäf/a	dunzi	fof","then	father	=ERG.SG	DEM	pig	SG>3SG.M:PST:PFV\start	arrow	EMPH","Then father aimed with his bow and arrow,","","WORD_ALIGNED"
"a747","sfruthrm","sf\ru/thrm","SG>3SG.M:PST:DUR\shoot","and he shot it.","","WORD_ALIGNED"
"a748","dunzime sfruthrm","dunzi	=me	sf\ru/thrm","arrow	=INS	SG>3SG.M:PST:DUR\shoot","He kept on shooting at it with arrows.","","WORD_ALIGNED"
"a749","watik, srethkäf yruthr srägathif","wati	sre\thkäf/	y\ru/thr	srä\gathif/","then	2|3SG>3SG.M:IRR:PFV\start	2|3SG>3SG:NPST:IPFV\shoot	2|3SG>3SG.M:IRR:PFV\leave","He shots it and left it there.","","WORD_ALIGNED"
"a752","wati, foba krekaris emothemoth ane ksi kar emoth thwanorm","wati	foba	kre\karis/	emoth~	emoth	ane	ksi	kar	emoth	thwa\nor/m","then	DIST:ABL	2|3SG:IRR:PFV\hear	REDUP~	girl	DEM	grassland	place	girl	2|3PL:PST:DUR\shout","Then he heard these girls. These bush girls were shouting.","","WORD_ALIGNED"
"a753","okay, nafa nima afan swarärm","okay	nafa	nima	afa	=n	swa\rä/rm","okay	3NSG.ERG	like_this	father	=DAT.SG	3SG.M.IO:PST:DUR\be","Okay, there doing this but father thought to himself","","WORD_ALIGNED"
"a755","""bäiŋam ŋafethm kma rära""","bäiŋam	ŋafethm	kma	\rä/ra","exchange_aunt	paternal_aunt	POT	3SG.F:PST:IPFV\be","""This could be my aunt and my uncle.""","","WORD_ALIGNED"
"a756","pilipanme ŋame","pilip	=aneme	ŋame","Phillip	=POSS.NSG	mother","Phillip's mother,","","WORD_ALIGNED"
"a757","nafaemoth fefe","nafa-	emoth	fefe","3.POSS-	girl	really","his sister really.","","WORD_ALIGNED"
"a758","fi kma rära","fi	kma	\rä/ra","3.ABS	POT	3SG.F:PST:IPFV\be","""It could be her.""","","WORD_ALIGNED"
"a759","wati, mane yaniyaka zyé","wati	mane	yan\yak/a	z=	\yé/","then	which	3SG.M:PST:IPFV:VENT\come	PROX=	3SG.M:NPST:IPFV\be","Then he came back","","WORD_ALIGNED"
"a760","nzenm nzrätrif","nzenm	nzrä\trif/","1NSG.DAT	2|3SG>1PL.IO:IRR:PFV\tell","and he told us,","","WORD_ALIGNED"
"a761","ruga bä ythn","ruga	bä	y\thn/","pig	MED	3SG.M:NPST:IPFV\lie_down","""The pig is lying there.""","","WORD_ALIGNED"
"a762","ni nafä nzfrärm sitauane emoth nima","ni	nafä	nzf\rä/rm	sitau	=ane	emoth	nima","1NSG	3PL.ASSOC	1PL:PST:DUR\be	PN	=POSS.SG	sister	like_this","We were together with Sitau's sister","","WORD_ALIGNED"
"a764","mane zokofo wämnzr dayr","mane	zoko	=fo	wä\m/nzr	dayr","which	Tokwa	=ALL	3SG.F:NPST:IPFV\sit	Dayr","Dayér, who is now living in Tokwa.","","WORD_ALIGNED"
"a765","dayr fthé emoth zfrä","dayr	fthé	emoth	zf\rä/","Dayr	when	girl	3SG.F:RPST:IPFV\be","Dayér wasn't married then.","","WORD_ALIGNED"
"a766","watik fobo sräthor","wati	fobo	srä\thor/","then	DIST:ALL	3SG.M:IRR:PFV\appear","He arrived there.","","WORD_ALIGNED"
"a768","afa nzrätrif","afa	nzrä\trif/","father	2|3SG>1PL.IO:IRR:PFV\tell","Father told us,","","WORD_ALIGNED"
"a769","ruga z nzifnzé yabun yayabun yabun yabun","ruga	z	nz=	y\fn/nzé	yabun	ya~	yabun","pig	IAM	IPST=	1SG>3SG.M:NPST:IPFV\hit	big	REDUP~	big","""I just killed a pig, a huge one!","","WORD_ALIGNED"
"a770","keke kwa monme ynznzrm","keke	kwa	mon	=me	yn\zä/nzrm","NEG	FUT	how	=INS	SG>3SG.M:RPST:DUR:VENT\carry","How will I carry it?","","WORD_ALIGNED"
"a771","nimäwä fi ra bä nzänor","nima	=wä	fi	ra	bä	nz=	ä\nor/","like_this	=EMPH	3.ABS	what.ABS	MED	IPST=	2|3PL:NPST:IPFV\shout","also what was shouting there?","","WORD_ALIGNED"
"a772","ra emoth emoth ane nzänor","ra	emoth~	emoth	ane	nz=	ä\nor/","what.ABS	REDUP~	girl	DEM	IPST=	2|3PL:NPST:IPFV\shout","Which girls were just shouting there?","","WORD_ALIGNED"
"a773","ksi kar emothemoth","ksi	kar	emoth~	emoth","grassland	place	REDUP~	girl","those bushgirls?""","","WORD_ALIGNED"
