"ID","Primary_Text","Analyzed_Word","Glosses","Translation","Comment","LGR"
"a1265","zrethkäfé","zre\thkäf/é","1SG:IRR:PFV\start","I will start it.","","WORD_ALIGNED"
"a1266","zyé bä kakatan matar komnzo kmam kanafré","z=	\yé/	bä	ka~	katan	matar	komnzo	kmam	ka\naf/ré","PROX=	3SG.M:NPST:IPFV\be	MED	REDUP~	small	silence	only	APPR	2SG:IMP:IPFV\talk","You little ones here, stay quiet! Don't talk!","He talks to his children who are making noise.","WORD_ALIGNED"
"a1267","zokwasi wzänzr daddyf","zokwasi	w\zä/nzr	daddy	=f","speech	2|3SG>3SG.F:NPST:IPFV\carry	father	=ERG.SG","Daddy's recording the story.","","WORD_ALIGNED"
"a1268","kmam kanafré","kmam	ka\naf/ré","APPR	2SG:IMP:IPFV\talk","Don't talk!","","WORD_ALIGNED"
"a1269","zba zf zefara nama saturday","zba	zf	ze\far/a	nama	saturday","PROX:ABL	ABSC	SG:PST:PFV\set_off	two_days_away	saturday","I left here the day before yesterday, on Saturday.","","WORD_ALIGNED"
"a1271","mane wiyaka burä ŋathanzo thäsa","mane	w\yak/a	b=	wo\rä/	ŋatha	=nzo	thä\s/a","which	1SG:PST:IPFV\walk	MED=	1SG:NPST:IPFV\be	dog	=ONLY	SG>2|3PL:PST:PFV\call","As I got walking, I called the dogs.","","WORD_ALIGNED"
"a1273","tosai ŋame bana zräkoré nima wiyak gastolr","tosai	ŋame	bana	zrä\kor/é	nima	w\yak/	gastol	=r","baby	mother	pityful	1SG>3SG.F:IRR:PFV\speak	like_this	1SG:NPST:IPFV\walk	fish_species	=PURP","I told the baby's mother that I am going this way for Gastol fish.","gastol 'striped snakehead' (Channa striata) is an invasive species in the region.","WORD_ALIGNED"
"a1275","wiyak kafar swäy","w\yak/	kafar	swäy","1SG:NPST:IPFV\walk	big	canoe_place","I walked to the big canoe place","","WORD_ALIGNED"
"a1276","krärité boba wazi","krä\rit/é	boba	wazi","1SG:IRR:PFV\cross	MED:ABL	side","and went across.","","WORD_ALIGNED"
"a1277","watik ŋathaf we ane we kwathofikwrm","watik	ŋatha	=f	we	ane	we	kwa\thofik/wrm","then	dog	=ERG.SG	also	DEM	also	SG:PST:DUR\disturb","One of the dogs was romping around.","","WORD_ALIGNED"
"a1278","watik, nzä we kränbrimé ŋatha ane we srenfafa sübrüzrm non ybrüza fiyé","watik	nzä	we	krän\brim/é	ŋatha	ane	we	sren\faf/a	sü\brüz/rm	no	=en	y\brüz/a	f=	\yé/","then	1SG.ABS	also	1SG:IRR:PFV:VENT\return	dog	DEM	also	SG>3SG.M:PST:PFV:VENT\hold	SG>3SG.M:PST:DUR\submerge	water	=LOC	SG>3SG.M:PST:IPFV\submerge	DIST=	3SG.M:NPST:IPFV\be","I came back and grabbed it, and dumped the dog in the water.","","WORD_ALIGNED"
"a1279","wati kräziré nima süfi frfo","wati	krä\zir/é	nima	süfi	fr	=fo","then	1SG:IRR:PFV\throw	like_this	floating_grass	post	=ALL","Then I threw it up on the floating grass.","","WORD_ALIGNED"
"a1280","wati foba we fof krafare","wati	foba	we	fof	kra\far/e","then	DIST:ABL	also	EMPH	1DU:IRR:PFV\set_off","Then got going from there.","","WORD_ALIGNED"
"a1281","watik kma yisza yisza keke","watik	kma	yi\sz/a	yi\sz/a	keke","then	POT	SG>3SG.M:PST:IPFV\call	SG>3SG.M:PST:IPFV\call	NEG","On the other side, I called him and called him, but nothing happened.","","WORD_ALIGNED"
"a1282","watik krefaré wiyak e ftrsam","watik	kre\far/é	w\yak/	e	ftrsam","then	1SG:IRR:PFV\set_off	1SG:NPST:IPFV\walk	until	Ftrsam","Then I set off and walked to Fétérsam.","","WORD_ALIGNED"
"a1284","fä kma srämonesé keke","fä	kma	srä\mones/é	keke","DIST	POT	1SG>3SG.M:IRR:PFV\wait	NEG","I waited there for some while, but but the dog didn't show up.","","WORD_ALIGNED"
"a1286","watik zefara","watik	ze\far/a","then	SG:PST:PFV\set_off","I set off again.","","WORD_ALIGNED"
"a1287","foba fof krefaré wiyak e büdisn","foba	fof	kre\far/é	w\yak/	e	büdisn","DIST:ABL	EMPH	1SG:IRR:PFV\set_off	1SG:NPST:IPFV\walk	until	Büdisn","I walked until Büdisén.","","WORD_ALIGNED"
"a1288","büdisn fä threkarisé stevené","büdisn	fä	thre\karis/é	steven	=é","Büdisn	DIST	1SG>2|3PL:IRR:PFV\hear	Steven	=ABS.NSG","At Büdisén, I heard Steven and the others.","","WORD_ALIGNED"
"a1289","watik stevené ane bänemr gastolr kwafrzrmth fof","watik	steven	=é	ane	bäne	=mr	gastol	=r	kwa\frz/rmth	fof","then	Steven	=ABS.NSG	DEM	PH	=PURP	fish_species	=PURP	2|3PL:PST:DUR\poison_root_fishing	EMPH","They were catching fish with poison-root.","","WORD_ALIGNED"
"a1290","nafa foba woszrth","nafa	foba	wo\sz/rth","3NSG.ERG	DIST:ABL	2|3PL>1SG:NPST:IPFV\call","They called out for me,","","WORD_ALIGNED"
"a1291","nzefé keke thärfitfa","nzefé	keke	thä\rfitf/a","1SG.ERG.EMPH	NEG	SG>2|3PL:PST:PFV\answer","but I didn't not answer them.","","WORD_ALIGNED"
