"ID","Primary_Text","Analyzed_Word","Glosses","Translation","Comment","LGR"
"a2910","kwa zrethkäfé","kwa	zre\thkäf/é","FUT	1SG:IRR:PFV\start","I will start now.","","WORD_ALIGNED"
"a2911","nzä mane worera bä ŋarkwiyanza nzone kar bä rä","nzä	mane	wo\rä/ra	bä	ŋa\rkwiya/nza	nzone	kar	bä	\rä/","1SG.ABS	which	1SG:PST:IPFV\be	MED	SG:PST:IPFV\give_birth	1SG.POSS	village	MED	3SG.F:NPST:IPFV\be","As for me, I was born there. My village is there,","","WORD_ALIGNED"
"a2913","wämnefr tfotfo","wämnefr	tfotfo","PLN	almost","close to Wämnefr.","","WORD_ALIGNED"
"a2914","ŋars fä rä nzäwi rä","ŋars	fä	\rä/	nzäwi	\rä/","river	DIST	3SG.F:NPST:IPFV\be	lagoon	3SG.F:NPST:IPFV\be","There is a lagoon by the river there.","","WORD_ALIGNED"
"a2916","okay ane bafen ane thartharen kar katan rä","okay	ane	baf	=en	ane	tharthar	=en	kar	katan	\rä/","okay	DEM	PH	=LOC	DEM	beside	=LOC	village	small	3SG.F:NPST:IPFV\be","Okay, there is a small village on the side.","","WORD_ALIGNED"
"a2918","ŋazi fä ekogr wimäs fä ekogr","ŋazi	fä	e\ko/gr	wimäs	fä	e\ko/gr","coconut	DIST	2|3PL:NPST:STAT\be_standing	mango	DIST	2|3PL:NPST:STAT\be_standing","There are coconuts and mango trees there.","","WORD_ALIGNED"
"a2919","nzuŋafe kwark fthé trtha sfrärm fä fof nzwamnzrm","nzu-	ŋafe	kwark	fthé	trtha	sf\rä/rm	fä	fof	nzwa\m/nzrm","1SG.POSS-	father	deceased	when	life	3SG.M:PST:DUR\be	DIST	EMPH	1PL:PST:DUR\sit","When my late father was still alive, we used to live there.","","WORD_ALIGNED"
"a2921","nä kayé ŋafe fthé kwosi yara","nä	kayé	ŋafe	fthé	kwosi	ya\r/a","INDF	one_day_away	father	when	dead	3SG.M:PST:IPFV\be","One day, my father passed away","","WORD_ALIGNED"
"a2923","nzone ŋameyé edanzo","nzone	ŋame	=é	eda	=nzo","1SG.POSS	mother	=ERG.NSG	two	=ONLY","and only my mothers (were left)","","WORD_ALIGNED"
"a2924","ni edanzo","ni	eda	=nzo","1NSG	two	=ONLY","and the two of us.","","WORD_ALIGNED"
"a2926","nä ŋafema ane nzunane rä","nä	ŋafe	=ma	ane	nzu-	nane	\rä/","INDF	father	=CHAR	DEM	1SG.POSS-	elder_sibling	3SG.F:NPST:IPFV\be","My big sister is from another father.","","WORD_ALIGNED"
"a2927","bä kiungan mane wämnzr","bä	kiunga	=en	mane	wä\m/nzr","MED	PLN	=LOC	which	3SG.F:NPST:IPFV\sit","She lives up in Kiunga.","","WORD_ALIGNED"
"a2928","okay, nzä nezä katakatanwä kwofrärm","okay	nzä	nezä	kata~	katan	=wä	kwof\rä/rm","okay	1SG.ABS	in_return	REDUP~	small	=EMPH	1SG:PST:DUR\be","Okay, I am a just little younger.","","WORD_ALIGNED"
"a2929","nä kayé nzone ŋame ausi zane zf zrä","nä	kayé	nzone	ŋame	ausi	zane	zf	z=	\rä/","INDF	one_day_away	1SG.POSS	mother	old_woman	DEM:PROX	ABSC	PROX=	3SG.F:NPST:IPFV\be","One day my mother, this old woman right here,","","WORD_ALIGNED"
"a2932","zefarake zrafo zagrmäre nima","ze\far/ake	zra	=fo	zagr	=märe	nima","1PL:PST:PFV\set_off	swamp	=ALL	far	=PRIV	like_this","she went with me to the swamp not far away.","","WORD_ALIGNED"
"a2934","nima zagr mission station brä","nima	zagr	mission	station	b=	\rä/","like_this	far	mission	station	MED=	3SG.F:NPST:IPFV\be","Maybe as far as the mission station from there.","","WORD_ALIGNED"
"a2937","fobo fof niyaka bnrä","fobo	fof	n\yak/a	b=	n\rä/","DIST:ALL	EMPH	1PL:PST:IPFV\walk	MED=	2SG:NPST:IPFV\be","So we walked there.","","WORD_ALIGNED"
"a2938","watik","watik","then","well","","WORD_ALIGNED"
"a2939","nzuŋame ane mane zfrärm","nzu-	ŋame	ane	mane	zf\rä/rm","1SG.POSS-	mother	DEM	which	3SG.F:PST:DUR\be","As for my mother,","","WORD_ALIGNED"
"a2940","fi fiyafr fthé zfyakm zane ausi zf","fi	fiyaf	=r	fthé	zf\yak/m	zane	ausi	zf","3.ABS	hunt	=PURP	when	3SG.F:PST:DUR\walk	DEM:PROX	old_woman	ABSC","this old woman here, she went hunting.","","WORD_ALIGNED"
"a2941","naf thufnzrm","naf	thu\fn/zrm","3SG.ERG	SG>2|3PL:PST:DUR\hit","She killed (animals).","","WORD_ALIGNED"
"a2942","naf yem thufnzrm","naf	yem	thu\fn/zrm","3SG.ERG	cassowary	SG>2|3PL:PST:DUR\hit","She killed cassowaries.","","WORD_ALIGNED"
"a2943","naf rusa thufnzrm tauri thufnzrm","naf	rusa	thu\fn/zrm	tauri	thu\fn/zrm","3SG.ERG	deer	SG>2|3PL:PST:DUR\hit	wallaby	SG>2|3PL:PST:DUR\hit","She killed deer. She killed wallabies.","","WORD_ALIGNED"
"a2944","okay, fiyafr zefarake","okay	fiyaf	=r	ze\far/ake","okay	hunt	=PURP	1PL:PST:PFV\set_off","Okay, so the two of us went hunting.","","WORD_ALIGNED"
"a2945","watik ŋathayé ruga srethkäfth","watik	ŋatha	=é	ruga	sre\thkäf/th","then	dog	=ERG.NSG	pig	2|3PL>3SG.M:IRR:PFV\start","The dogs started (chasing) a pig.","","WORD_ALIGNED"
"a2946","funny story we rä foba fof","funny	story	we	\rä/	foba	fof","funny	story	also	3SG.F:NPST:IPFV\be	DIST:ABL	EMPH","it is also a funny bit in this story.","","WORD_ALIGNED"
"a2947","watik niyak niyak niyak","watik	n\yak/	n\yak/	n\yak/","then	1PL:NPST:IPFV\walk	1PL:NPST:IPFV\walk	1PL:NPST:IPFV\walk","Then we walked and walked","","WORD_ALIGNED"
"a2949","ŋathayé ane ruga srethkäfth","ŋatha	=é	ane	ruga	sre\thkäf/th","dog	=ERG.NSG	DEM	pig	2|3PL>3SG.M:IRR:PFV\start","and the dogs started (chasing) the pig.","","WORD_ALIGNED"
"a2950","amaf nzrakor kasöbäthe ama kwarkf","ama	=f	nzra\kor/	ka\söbäth/e	ama	kwark	=f","mother	=ERG.SG	2|3SG>1DU:IRR:PFV\speak	2DU:IMP:PFV\ascend	mother	deceased	=ERG.SG","The late mother said to us: ""You climb up!""","","WORD_ALIGNED"
"a2953","watik nzä nanyéf kwofsogm","watik	nzä	nane	=f	kwof\sog/wrm","then	1SG.ABS	elder_sibling	=ERG.SG	SG>1SG:PST:DUR\ascend","My big sister lifted up (on the tree).","","WORD_ALIGNED"
"a2954","nzä sogsi miyamr","nzä	sog	-si	miyamr","1SG.ABS	ascend	-NMLZ	ignorance","I couldn't climb.","","WORD_ALIGNED"
"a2955","wosogwa nima","wo\sog/wa	nima","SG>1SG:PST:IPFV\ascend	like_this","So she put me up,","","WORD_ALIGNED"
"a2956","nima zagr zf nima warfo","nima	zagr	zf	nima	warfo","like_this	far	ABSC	like_this	above","maybe up to this height.","","WORD_ALIGNED"
"a2957","kwerafinz zürben","kwe\rafinz/	zürb	=en","2|3SG>1SG:RPST:PFV\put_on_top	tree_species	=LOC","She put me up on the zürb tree.","","WORD_ALIGNED"
"a2958","zürb fä ekogr thartharen","zürb	fä	e\ko/gr	tharthar	=en","tree_species	DIST	2|3PL:NPST:STAT\be_standing	beside	=LOC","There stood some zürb trees standing on the side.","","WORD_ALIGNED"
