"ID","Language_ID","Primary_Text","Analyzed_Word","Gloss","Translated_Text","Meta_Language_ID","LGR_Conformance","Comment","LGR_Conformance_Level","Language_Name","Abbreviations","Corpus_Reference","Source","Contribution_ID"
"otc1-01_tci20131013v-01_kwafar-a3465","wara1294","moba zrathkäfe","moba	zra\thkäf/e","where.ABL	1DU>3SG.F:IRR:PFV\start","Where will we start?","stan1293","WORD_ALIGNED","I reply by asking the question: wawa moba enrera? `Where did the yams come from?'","2","","{}","","","otc1"
"otc1-01_tci20131013v-01_kwafar-a3466","wara1294","""wawa moba enrera?"" okay","wawa	moba	en\rä/ra	okay","round_yam	where.ABL	2|3PL:PST:IPFV:VENT\be	okay","""Where did the yams come from?"" Okay!","stan1293","WORD_ALIGNED","","2","","{}","","","otc1"
"otc1-01_tci20131013v-01_kwafar-a3468","wara1294","kwa zöbthé zrathkäfe nimame trikasi fof","kwa	zöbthé	zra\thkäf/e	nima	=me	trikasi	fof","FUT	first	1DU>3SG.F:IRR:PFV\start	like_this	=INS	story	EMPH","We will start the story in this way,","stan1293","WORD_ALIGNED","","2","","{}","","","otc1"
"otc1-01_tci20131013v-01_kwafar-a3469","wara1294","kwafar","kwafar","PLN","with Kwafar.","stan1293","WORD_ALIGNED","","2","","{}","","","otc1"
"otc1-01_tci20131013v-01_kwafar-a3470","wara1294","nimame fof nzranyan e zbo zrabthe","nima	=me	fof	nzran\yan/	e	zbo	zra\bth/e","like_this	=INS	EMPH	1DU:IRR:IPFV:VENT\come	until	PROX:ALL	1DU>3SG.F:IRR:PFV\finish","We will come like this and then finish up","stan1293","WORD_ALIGNED","","2","","{}","","","otc1"
"otc1-01_tci20131013v-01_kwafar-a3471","wara1294","ra nzigfu enfathwath","ra	nzigfu	en\fath/wath","what.ABS	rain_stone	2|3PL>2|3PL:PST:IPFV:VENT\hold","with the rain stones.","stan1293","WORD_ALIGNED","","2","","{}","","","otc1"
"otc1-01_tci20131013v-01_kwafar-a3472","wara1294","ra fofosa nzigfu enfathwath","ra	fofosa	nzigfu	en\fath/wath","what.ABS	heart	rain_stone	2|3PL>2|3PL:PST:IPFV:VENT\hold","What rain stones they used to have.","stan1293","WORD_ALIGNED","","2","","{}","","","otc1"
"otc1-01_tci20131013v-01_kwafar-a3474","wara1294","watik zbo zf zrabthe aneme fof","wati	zbo	zf	zra\bth/e	ane	=me	fof","then	PROX:ALL	ABSC	1DU>3SG.F:IRR:PFV\finish	DEM	=INS	EMPH","We will finish with this part.","stan1293","WORD_ALIGNED","","2","","{}","","","otc1"
"otc1-01_tci20131013v-01_kwafar-a3476","wara1294","trikasi näbi kwa wäniyak","trikasi	näbi	kwa	wän\yak/","story	one	FUT	3SG.F:NPST:IPFV:VENT\come","It will be one story.","stan1293","WORD_ALIGNED","","2","","{}","","","otc1"
"otc1-01_tci20131013v-01_kwafar-a3481","wara1294","zane trikasi mane rä","zane	trikasi	mane	\rä/","DEM:PROX	story	which	3SG.F:NPST:IPFV\be","As for this story,","stan1293","WORD_ALIGNED","","2","","{}","","","otc1"
"otc1-01_tci20131013v-01_kwafar-a3483","wara1294","ŋafyf bäyf mane ŋatrikwa","ŋafe	=f	bäi	=f	mane	ŋa\trik/wa","father	=ERG.SG	PN	=ERG.SG	which	SG:PST:IPFV\tell","it was my father Bäi who told it.","stan1293","WORD_ALIGNED","","2","","{}","","","otc1"
"otc1-01_tci20131013v-01_kwafar-a3484","wara1294","nzenm natrikwa","nzenm	na\trik/wa","1NSG:DAT	SG>1PL.IO:PST:IPFV\tell","He told it to us.","stan1293","WORD_ALIGNED","","2","","{}","","","otc1"
"otc1-01_tci20131013v-01_kwafar-a3485","wara1294","watik ane trikasi fof zena ŋaritakwr","wati	ane	trikasi	fof	zena	ŋa\ritak/wr","then	DEM	story	EMPH	today	2|3SG:NPST:IPFV\cross","Well, this story will be passed on today.","stan1293","WORD_ALIGNED","","2","","{}","","","otc1"
"otc1-01_tci20131013v-01_kwafar-a3486","wara1294","trikasi mane rä kwafarma rä","trikasi	mane	\rä/	kwafar	=ma	\rä/","story	which	3SG.F:NPST:IPFV\be	PLN	=CHAR	3SG.F:NPST:IPFV\be","This story is about Kwafar.","stan1293","WORD_ALIGNED","","2","","{}","","","otc1"
"otc1-01_tci20131013v-01_kwafar-a3489","wara1294","""kwafar"" ŋafyf nima fof kwatrikwrm","kwafar	ŋafe	=f	nima	fof	kwa\trik/wrm","PLN	father	=ERG.SG	like_this	EMPH	SG>1SG.IO:PST:DUR\tell","""Kwafar"", that's how father told me","stan1293","WORD_ALIGNED","","2","","{}","","","otc1"
"otc1-01_tci20131013v-01_kwafar-a13405","wara1294","""kwafar mane rera thden rera""","kwafar	mane	\rä/ra	thd	=en	\rä/ra","PLN	which	3SG.F:PST:IPFV\be	middle	=LOC	3SG.F:PST:IPFV\be","""Kwafar was in the centre,""","stan1293","WORD_ALIGNED","","2","","{}","","","otc1"
"otc1-01_tci20131013v-01_kwafar-a3491","wara1294","zane zena mane bad mane wythk","zane	zena	mane	bad	mane	wa\ythk/","DEM:PROX	today	which	ground	which	3SG.F:NPST:IPFV\come_to_end","where this continent ends today and","stan1293","WORD_ALIGNED","","2","","{}","","","otc1"
"otc1-01_tci20131013v-01_kwafar-a3492","wara1294","mazo mä ŋakonzr a","mazo	mä	ŋa\ko/nzr	a","ocean	where	2|3SG:NPST:IPFV\become	and","where the ocean begins,","stan1293","WORD_ALIGNED","","2","","{}","","","otc1"
"otc1-01_tci20131013v-01_kwafar-a3494","wara1294","australiane bad mä wythk","australian	=ane	bad	mä	wa\ythk/","PLN	=POSS.SG	ground	where	3SG.F:NPST:IPFV\come_to_end","to where the Australian land ends.","stan1293","WORD_ALIGNED","","2","","{}","","","otc1"
"otc1-01_tci20131013v-01_kwafar-a3495","wara1294","fä mä fi zfrärm ane","fä	mä	fi	zf\rä/rm	ane","DIST	where	3.ABS	3SG.F:PST:DUR\be	DEM","That is where Kwafar was located.","stan1293","WORD_ALIGNED","","2","","{}","","","otc1"
"otc1-01_tci20131013v-01_kwafar-a3496","wara1294","kwafar fof kabe mä kwamosinzrmth","kwafar	fof	kabe	mä	kwa\mosi/nzrmth","Kwafar	EMPH	people	where	2|3PL:PST:DUR\gather","The people used to live together in Kwafar.","stan1293","WORD_ALIGNED","","2","","{}","","","otc1"
"otc1-01_tci20131013v-01_kwafar-a3497","wara1294","wäsi warfo thfrugrm","wäsi	warfo	thf\ru/grm","tree_species	above	2|3PL:PST:DUR\sleep","They stayed on top of a Wäsi tree.","stan1293","WORD_ALIGNED","wäsi 'strangler fig' (Ficus elastica)","2","","{}","","","otc1"
"otc1-01_tci20131013v-01_kwafar-a3498","wara1294","wäsi bäne ykonzrth nä bä bikogro zärkarä","wäsi	bäne	y\ko/nzrth	nä	bä	b=	y\ko/gro	zär	=karä","tree_species	DEM:MED	2|3PL>3SG.M:NPST:IPFV\speak	INDF	MED	MED=	3SG.M:NPST:STAT:AND\be_standing	shade	=PROP","They call this one Wäsi. Over there is one with a shadow.","stan1293","WORD_ALIGNED","","2","","{}","","","otc1"
"otc1-01_tci20131013v-01_kwafar-a3500","wara1294","kabe fä fof thwamnzrm fof","kabe	fä	fof	thwa\m/nzrm	fof","people	DIST	EMPH	2|3PL:PST:DUR\sit	EMPH","The people were living there,","stan1293","WORD_ALIGNED","","2","","{}","","","otc1"
"otc1-01_tci20131013v-01_kwafar-a3501","wara1294","zokwasi ffrümenzo","zokwasi	f~	frü	=me	=nzo","speech	REDUP~	alone	=INS	=ONLY","and they spoke different languages.","stan1293","WORD_ALIGNED","","2","","{}","","","otc1"
"otc1-01_tci20131013v-01_kwafar-a3502","wara1294","nä zfthen thwamnzrm nä thden thwamnzrm nä kerker thwamnzrm","nä	zfth	=en	thwa\m/nzrm	nä	thd	=en	thwa\m/nzrm	nä	kerker	thwa\m/nzrm","INDF	tree_base	=LOC	2|3PL:PST:DUR\sit	INDF	middle	=LOC	2|3PL:PST:DUR\sit	INDF	tail	2|3PL:PST:DUR\sit","Some lived at the foot of the tree, others in the middle and still others at the top.","stan1293","WORD_ALIGNED","","2","","{}","","","otc1"
"otc1-01_tci20131013v-01_kwafar-a3504","wara1294","watik zokwasi ane ffrümenzo kwanafrmth","wati	zokwasi	ane	f~	frü	=me	=nzo	kwa\naf/rmth","then	speech	DEM	REDUP~	alone	=INS	=ONLY	2|3PL:PST:DUR\talk","They all spoke different languages.","stan1293","WORD_ALIGNED","","2","","{}","","","otc1"
"otc1-01_tci20131013v-01_kwafar-a3505","wara1294","nä kayé wäsi ane zäföfa fof","nä	kayé	wäsi	ane	zä\föf/a	fof","INDF	one_day_away	tree_species	DEM	SG:PST:PFV\burn	EMPH","One day, the Wäsi tree started to burn.","stan1293","WORD_ALIGNED","","2","","{}","","","otc1"
"otc1-01_tci20131013v-01_kwafar-a3507","wara1294","zästha fof","zä\sth/a	fof","SG:PST:PFV\set_on_fire	EMPH","It really lit up.","stan1293","WORD_ALIGNED","","2","","{}","","","otc1"
"otc1-01_tci20131013v-01_kwafar-a3508","wara1294","nä kabe nima kwakwirwrmth","nä	kabe	nima	kwa\kwir/wrmth","INDF	people	like_this	2|3PL:PST:DUR\run","Some people ran away, while","stan1293","WORD_ALIGNED","","2","","{}","","","otc1"
"otc1-01_tci20131013v-01_kwafar-a3509","wara1294","nä kabe nima mnin kwarsirwrmth","nä	kabe	nima	mni	=en	kwa\rsir/wrmth","INDF	people	like_this	fire	=LOC	2|3PL:PST:DUR\burn","others burned in the fire.","stan1293","WORD_ALIGNED","","2","","{}","","","otc1"
"otc1-01_tci20131013v-01_kwafar-a3511","wara1294","watik wäsi ane kwot ŋarsira zäbtha","wati	wäsi	ane	kwot	ŋa\rsir/a	zä\bth/a","then	tree_species	DEM	properly	SG:PST:IPFV\burn	SG:PST:PFV\finish","So the Wäsi tree burned to the ground.","stan1293","WORD_ALIGNED","","2","","{}","","","otc1"
"otc1-01_tci20131013v-01_kwafar-a3513","wara1294","kabe bä mane thwägrm warfo nä mrmr","kabe	bä	mane	th\wä/grm	warfo	nä	mrmr","people	MED	which	2|3SG:PST:DUR:STAT\be_up_high	above	INDF	inside","Those people who stayed at the top, and those (who stayed) inside,","stan1293","WORD_ALIGNED","","2","","{}","","","otc1"
"otc1-01_tci20131013v-01_kwafar-a3515","wara1294","fi we nimäwä kwarsirwrmth","fi	we	nima	=wä	kwa\rsir/wrmth","3.ABS	also	like_this	=EMPH	2|3PL:PST:DUR\burn","they also burned.","stan1293","WORD_ALIGNED","","2","","{}","","","otc1"
