ID,Media_Type,Download_URL
eaf01_tci20131013v-01_kwafar,application/eaf+xml,01_tci20131013v-01_kwafar.eaf
wav01_tci20131013v-01_kwafar,audio/wav,https://zenodo.org/records/5653691
eaf02_tci20120922a-08_masu,application/eaf+xml,02_tci20120922a-08_masu.eaf
wav02_tci20120922a-08_masu,audio/wav,https://zenodo.org/records/11189733
eaf03_tci20110802a_safak_menz_a_faikore_menz,application/eaf+xml,03_tci20110802a_safak_menz_a_faikore_menz.eaf
wav03_tci20110802a_safak_menz_a_faikore_menz,audio/wav,https://zenodo.org/records/11189770
eaf04_tci20111107a-01_ebar_zan_firran,application/eaf+xml,04_tci20111107a-01_ebar_zan_firran.eaf
wav04_tci20111107a-01_ebar_zan_firran,audio/wav,https://zenodo.org/records/11189781
eaf05_tci20111119v-01_faw_brigsi,application/eaf+xml,05_tci20111119v-01_faw_brigsi.eaf
wav05_tci20111119v-01_faw_brigsi,audio/wav,https://zenodo.org/records/5801368
eaf06_tci20111119a-06_nzrna_trikasi_watayan,application/eaf+xml,06_tci20111119a-06_nzürna_trikasi_watayan.eaf
wav06_tci20111119a-06_nzrna_trikasi_watayan,audio/wav,https://zenodo.org/records/11189830
eaf07_tci20120901a-01_nzrna_trikasi_firran,application/eaf+xml,07_tci20120901a-01_nzürna_trikasi_firran.eaf
wav07_tci20120901a-01_nzrna_trikasi_firran,audio/wav,https://zenodo.org/records/11189847
eaf08_tci20120827a-03_nzrna_trikasi_bresanema,application/eaf+xml,08_tci20120827a-03_nzürna_trikasi_bresanema.eaf
wav08_tci20120827a-03_nzrna_trikasi_bresanema,audio/wav,https://zenodo.org/records/11189856
eaf09_tci20100905_kukufia,application/eaf+xml,09_tci20100905-kukufia.eaf
wav09_tci20100905_kukufia,audio/wav,https://zenodo.org/records/11189889
eaf10_tci20130903v-04_fenz_yonasi,application/eaf+xml,10_tci20130903v-04_fenz_yonasi.eaf
wav10_tci20130903v-04_fenz_yonasi,audio/wav,https://zenodo.org/records/11189896
eaf11_tci20120909v-06_masis,application/eaf+xml,11_tci20120909v-06_masis.eaf
wav11_tci20120909v-06_masis,audio/wav,https://zenodo.org/records/1300792
eaf12_tci20120821a-02_fiyaf_trikasi,application/eaf+xml,12_tci20120821a-02_fiyaf_trikasi.eaf
wav12_tci20120821a-02_fiyaf_trikasi,audio/wav,https://zenodo.org/records/11189906
eaf13_tci20130903v-03_fiyaf_trikasi,application/eaf+xml,13_tci20130903v-03_fiyaf_trikasi.eaf
wav13_tci20130903v-03_fiyaf_trikasi,audio/wav,https://zenodo.org/records/11189913
eaf14_tci20150919v-05_ausi,application/eaf+xml,14_tci20150919v-05_ausi.eaf
wav14_tci20150919v-05_ausi,audio/wav,https://zenodo.org/records/11189920
